Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2,Tilt_Angle_Deg
0.005554,0.274658,-0.144958,0.217412,-0.041314,-8.437055,-5.453475,-122.877495
0.021222,0.007629,-0.091553,0.141118,-0.035925,-8.437654,-5.460062,-122.907181
0.036812,0.076294,-0.289917,0.148748,-0.019160,-8.405321,-5.481018,-123.107933
0.052389,0.099182,-0.221252,0.171636,-0.013173,-8.383167,-5.494191,-123.240173
0.067966,0.450134,-0.190735,0.209783,-0.035925,-8.379575,-5.481617,-123.191269
0.083555,0.236511,-0.282288,0.110601,-0.055684,-8.401729,-5.456469,-123.001541
0.099146,0.083923,-0.350952,-0.087764,-0.048499,-8.401729,-5.461259,-123.024521
0.114718,0.190735,-0.396729,-0.148799,-0.020956,-8.425678,-5.473833,-123.010201
0.130287,0.503540,-0.419617,-0.103022,0.000000,-8.402328,-5.489401,-123.157356
0.145889,0.679016,-0.282288,0.095342,-0.004790,-8.414901,-5.500178,-123.169579
0.161508,0.549316,-0.267029,0.110601,-0.035327,-8.406519,-5.456469,-122.986626
0.177138,0.457764,-0.175476,0.064824,-0.061073,-8.428074,-5.445093,-122.865128
0.192755,0.205994,-0.404358,-0.034358,-0.024549,-8.418493,-5.454673,-122.940781
0.208369,0.297546,-0.373840,-0.087764,-0.012574,-8.410111,-5.468444,-123.032829
0.223973,0.602722,-0.328064,0.095342,-0.008383,-8.410111,-5.491197,-123.141647
0.239584,0.419617,-0.244141,0.164006,-0.022753,-8.402926,-5.458864,-123.009300
0.255162,0.572205,-0.320435,0.095342,-0.046703,-8.405321,-5.464852,-123.030548
0.270752,0.411987,-0.236511,0.041936,-0.036524,-8.418493,-5.478024,-123.052582
0.286368,0.564575,-0.343323,-0.103022,-0.024549,-8.407716,-5.489999,-123.143394
0.301969,0.724792,-0.320435,0.064824,-0.011376,-8.406519,-5.454673,-122.978020
0.317558,0.595093,-0.282288,0.156377,-0.045505,-8.416099,-5.455870,-122.953964
0.333142,0.305176,-0.167847,0.133489,-0.034728,-8.447234,-5.449883,-122.828812
0.348743,0.274658,-0.160217,-0.003840,-0.043110,-8.434061,-5.460660,-122.921165
0.364331,0.205994,-0.335693,-0.156428,-0.046703,-8.429272,-5.476228,-123.010490
0.379966,0.267029,-0.267029,-0.148799,-0.015568,-8.387958,-5.478623,-123.150703
0.395559,0.259399,-0.221252,-0.057246,-0.010778,-8.398136,-5.452278,-122.992638
0.411190,0.144958,-0.144958,0.209783,-0.038919,-8.393945,-5.473234,-123.106186
0.426771,0.205994,-0.167847,0.255559,-0.040715,-8.411907,-5.478024,-123.073082
0.442401,0.030518,-0.167847,0.118230,-0.040117,-8.429870,-5.466648,-122.962830
0.458010,0.038147,-0.213623,0.133489,-0.054487,-8.427475,-5.464253,-122.958786
0.473592,0.122070,-0.152588,0.255559,-0.028141,-8.423284,-5.481617,-123.054863
0.489202,0.160217,-0.114441,0.270818,-0.032333,-8.403524,-5.475030,-123.084885
0.504785,0.137329,-0.312805,0.171636,-0.053888,-8.392747,-5.463056,-123.061142
0.520369,-0.083923,-0.328064,-0.041987,-0.068857,-8.411308,-5.465450,-123.014771
0.535943,-0.022888,-0.289917,-0.034358,-0.050295,-8.402328,-5.479222,-123.108681
0.551521,0.106812,-0.358582,-0.011470,-0.022154,-8.408315,-5.487604,-123.130089
0.567098,0.282288,-0.205994,0.141118,-0.008981,-8.401729,-5.475629,-123.093353
0.582677,0.442505,-0.267029,0.202153,-0.049098,-8.412506,-5.477426,-123.068359
0.598277,0.251770,-0.076294,0.217412,-0.044308,-8.403524,-5.489999,-123.156479
0.613850,0.144958,-0.282288,0.110601,-0.042512,-8.386760,-5.478024,-123.151573
0.629421,0.228882,-0.328064,-0.026729,-0.037722,-8.403524,-5.478623,-123.102081
0.645016,0.160217,-0.236511,-0.041987,-0.038320,-8.416698,-5.483413,-123.083931
0.660603,0.274658,-0.289917,0.118230,-0.029938,-8.419092,-5.461858,-122.973351
0.676208,0.175476,-0.282288,0.164006,-0.052092,-8.408914,-5.486407,-123.122490
0.691832,0.144958,-0.167847,0.110601,-0.037123,-8.393346,-5.477426,-123.128120
0.707421,-0.022888,-0.274658,-0.110652,-0.023950,-8.416099,-5.494191,-123.137276
0.723009,0.045776,-0.343323,0.041936,-0.016765,-8.405321,-5.522332,-123.305092
0.738621,0.305176,-0.152588,0.217412,-0.019160,-8.406519,-5.483413,-123.115646
0.754232,0.518799,-0.205994,0.225042,-0.038320,-8.398136,-5.484012,-123.144676
0.769829,0.396729,-0.038147,0.362371,-0.043709,-8.418493,-5.483413,-123.078339
0.785433,0.381470,-0.228882,0.232671,-0.050295,-8.395143,-5.461259,-123.045052
0.801067,0.190735,-0.328064,0.072454,-0.034129,-8.395741,-5.459463,-123.034576
0.816653,0.160217,-0.183105,-0.072505,-0.027543,-8.393945,-5.482215,-123.149170
0.832246,0.144958,-0.442505,-0.041987,-0.043110,-8.409513,-5.466049,-123.023224
0.847852,0.114441,-0.442505,-0.041987,-0.047302,-8.420290,-5.461259,-122.966766
0.863461,-0.190735,-0.373840,-0.080134,-0.055085,-8.419691,-5.473234,-123.025955
0.879064,-0.183105,-0.259399,0.019048,-0.031734,-8.438851,-5.485209,-123.023659
0.894661,-0.312805,-0.228882,0.026677,-0.010179,-8.431666,-5.458864,-122.919991
0.910271,-0.259399,-0.274658,0.041936,-0.031734,-8.405920,-5.478024,-123.091743
0.925889,-0.396729,-0.205994,-0.003840,-0.026345,-8.423882,-5.442698,-122.866631
0.941506,-0.511169,-0.282288,0.110601,-0.041314,-8.390951,-5.485808,-123.175728
0.957111,-0.770569,-0.083923,0.270818,-0.020358,-8.415500,-5.488802,-123.113411
0.972704,-0.877380,-0.244141,0.057195,-0.025746,-8.416698,-5.465450,-122.998009
0.988312,-0.938416,-0.251770,-0.034358,-0.044308,-8.411907,-5.500777,-123.181778
1.003917,-0.968933,-0.358582,-0.019099,-0.027543,-8.412506,-5.527122,-123.305420
1.019501,-0.816345,-0.213623,0.148748,-0.022154,-8.419092,-5.519937,-123.250656
1.035117,-0.770569,-0.198364,0.156377,-0.013173,-8.395741,-5.518740,-123.317970
1.050705,-0.869751,-0.091553,0.255559,-0.052092,-8.361013,-5.507363,-123.372726
1.066282,-0.762939,-0.259399,0.278447,-0.113165,-8.341254,-5.707946,-124.383957
1.081859,-0.732422,-0.099182,0.164006,-0.055684,-8.365205,-5.554066,-123.582123
1.097439,-0.602722,-0.259399,0.141118,-0.017963,-8.327483,-5.718125,-124.475716
1.113017,-0.175476,-0.289917,0.133489,-0.017364,-8.320298,-5.436111,-123.158813
1.128606,0.236511,-0.328064,-0.049617,-0.036524,-8.340056,-5.424735,-123.041733
1.144202,0.526428,-0.251770,0.118230,-0.060474,-8.328680,-5.560652,-123.729095
1.159799,0.549316,-0.167847,0.019048,-0.034728,-8.338860,-5.715730,-124.428032
1.175392,0.755310,-0.373840,-0.034358,0.000000,-8.355025,-5.601966,-123.841492
1.190967,1.579285,-0.503540,-0.125911,-0.029938,-8.338860,-5.552869,-123.659752
1.206555,1.846313,-0.160217,0.057195,-0.052092,-8.339458,-5.524727,-123.523697
1.222159,1.884460,-0.129700,0.232671,-0.065264,-8.359816,-5.515147,-123.413681
1.237753,1.770020,-0.267029,0.247930,-0.017364,-8.349637,-5.524727,-123.491531
1.253327,1.991272,-0.259399,0.118230,0.147294,-8.432265,-5.548079,-123.343246
1.268911,2.502441,-0.503540,-0.240352,-0.087418,-8.400531,-5.590590,-123.643936
1.284521,2.944946,-0.473022,-0.324275,-0.034129,-8.390951,-5.497783,-123.232979
1.300101,3.005981,-0.518799,-0.621821,-0.005988,-8.398136,-5.459463,-123.027100
1.315694,3.051758,-0.595093,-0.560786,-0.074844,-8.393346,-5.461858,-123.053535
1.331293,2.593994,-0.602722,-0.698115,-0.078437,-8.459807,-5.404976,-122.574532
1.346867,2.052307,-0.564575,-0.728633,-0.070653,-8.444839,-5.376835,-122.484932
1.362444,1.091003,-0.701904,-0.865962,-0.009580,-8.478369,-5.385816,-122.425430
1.378042,0.602722,-0.770569,-0.820186,0.002994,-8.483758,-5.376835,-122.365692
1.393632,0.320435,-0.404358,-0.370051,-0.001796,-8.466992,-5.398989,-122.523674
1.409210,-0.236511,-0.244141,0.102971,0.026944,-8.448431,-5.443296,-122.793549
