Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2,Tilt_Angle_Deg
0.006450,0.488281,-0.183105,0.019048,-0.016166,-6.540200,-7.552111,-139.107132
0.022149,0.381470,-0.259399,0.041936,-0.016166,-6.569539,-7.553308,-138.984680
0.037755,0.373840,-0.343323,0.003789,-0.015568,-6.549181,-7.533550,-138.998413
0.053369,0.343323,-0.244141,-0.103022,0.007784,-6.551576,-7.529358,-138.972244
0.068971,0.434875,-0.190735,0.064824,-0.011376,-6.561755,-7.532951,-138.941742
0.084569,0.328064,-0.236511,-0.034358,-0.013771,-6.565347,-7.522173,-138.885574
0.100155,0.396729,-0.190735,-0.095393,-0.009580,-6.533613,-7.410805,-138.599518
0.115754,0.228882,-0.244141,0.026677,-0.026345,-6.570736,-7.510797,-138.819305
0.131380,0.244141,-0.198364,-0.011470,-0.013771,-6.548582,-7.543130,-139.037048
0.146980,0.259399,-0.267029,0.125859,-0.016765,-6.539601,-7.494032,-138.890701
0.162574,0.335693,-0.160217,-0.034358,-0.025746,-6.552175,-7.555704,-139.068741
0.178133,0.205994,-0.305176,0.064824,-0.015568,-6.552175,-7.540136,-139.010254
0.193708,0.267029,-0.213623,0.072454,0.004191,-6.543193,-7.529957,-139.010834
0.209295,0.091553,-0.297546,0.141118,-0.037123,-6.546187,-7.531155,-139.002365
0.224852,0.289917,-0.274658,-0.110652,0.001796,-6.563551,-7.519180,-138.882034
0.240429,0.335693,-0.228882,0.034307,-0.007185,-6.571934,-7.516186,-138.834503
0.256007,0.205994,-0.259399,-0.003840,0.143701,-6.556366,-7.534149,-138.969574
0.271584,0.213623,-0.167847,0.041936,-0.149689,-6.559360,-7.533550,-138.954346
0.287167,0.221252,-0.320435,0.041936,-0.012574,-6.545588,-7.555704,-139.097260
0.302744,0.228882,-0.228882,0.080083,-0.001796,-6.569539,-7.540735,-138.937393
0.318322,0.358582,-0.328064,-0.164058,-0.020956,-6.562354,-7.545525,-138.986465
0.333914,0.411987,-0.259399,-0.080134,-0.022154,-6.552773,-7.512593,-138.903809
0.349485,0.312805,-0.305176,-0.041987,-0.003593,-6.562354,-7.541933,-138.972961
0.365071,0.419617,-0.289917,0.041936,-0.016765,-6.555169,-7.526365,-138.945419
0.380664,0.511169,-0.221252,0.034307,0.145497,-6.547983,-7.541933,-139.035156
0.396260,0.480652,-0.259399,0.080083,-0.016166,-6.553971,-7.526365,-138.950592
0.411865,0.297546,-0.205994,0.064824,0.142504,-6.570736,-7.547321,-138.957001
0.427476,0.389099,-0.251770,-0.003840,-0.009580,-6.556366,-7.523970,-138.931198
0.443087,0.480652,-0.366211,0.072454,-0.008383,-6.556366,-7.548519,-139.023621
