Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2,Tilt_Angle_Deg
0.005576,0.442505,-0.144958,0.072454,-0.189207,7.976014,5.383988,55.979771
0.021244,0.343323,-0.228882,0.057195,-0.178429,7.976613,5.368421,56.058655
0.036840,0.556946,-0.160217,0.064824,-0.186812,7.937095,5.361235,55.962322
0.052463,0.228882,-0.244141,0.064824,-0.190404,7.971224,5.372612,56.020000
0.068063,0.419617,-0.228882,-0.034358,-0.192200,7.956854,5.390574,55.883316
0.083645,0.305176,-0.305176,0.064824,-0.199385,7.979008,5.383389,55.992691
0.099229,0.389099,-0.328064,-0.034358,-0.193398,7.967631,5.379198,55.975479
0.114849,0.259399,-0.312805,-0.049617,-0.205373,7.955057,5.382192,55.918709
0.130433,0.274658,-0.381470,-0.034358,-0.195793,7.952662,5.355248,56.044048
0.146032,0.244141,-0.228882,0.011418,-0.185015,7.968230,5.359439,56.075184
0.161612,0.427246,-0.450134,-0.003840,-0.193398,7.956255,5.397759,55.845867
0.177213,0.320435,-0.343323,-0.026729,-0.195793,7.958650,5.378000,55.951424
0.192820,0.556946,-0.259399,0.041936,-0.187410,7.953860,5.364828,56.000584
0.208402,0.427246,-0.366211,0.064824,-0.168849,7.961644,5.391173,55.896374
0.224002,0.396729,-0.213623,0.080083,-0.191003,7.962841,5.379797,55.956535
0.239611,0.518799,-0.213623,0.026677,-0.205373,7.967631,5.376803,55.987312
0.255211,0.389099,-0.251770,0.034307,-0.198787,7.960446,5.379198,55.951504
0.270814,0.434875,-0.213623,0.064824,-0.196392,7.953261,5.370217,55.971912
0.286395,0.389099,-0.305176,0.057195,-0.199984,7.991581,5.359439,56.152790
0.301979,0.305176,-0.289917,0.034307,-0.202379,7.977810,5.375606,56.027134
0.317570,0.381470,-0.251770,0.034307,-0.171843,7.951465,5.379797,55.918530
0.333151,0.236511,-0.289917,0.041936,-0.188608,7.981402,5.376803,56.033176
0.348749,0.320435,-0.335693,0.102971,-0.191602,7.957452,5.379198,55.941502
0.364350,0.457764,-0.350952,0.087712,-0.182021,7.947872,5.374408,55.933159
0.379954,0.259399,-0.358582,-0.011470,-0.195194,7.955057,5.386982,55.895046
0.395521,0.152588,-0.358582,0.026677,-0.194595,7.968829,5.381593,55.967644
0.411096,0.480652,-0.350952,0.057195,-0.188608,7.949668,5.366624,55.977688
0.426671,0.259399,-0.267029,0.003789,-0.195793,7.819140,5.371414,55.512600
0.442239,0.434875,-0.366211,0.080083,-0.215552,7.823331,5.379797,55.485226
0.457817,0.297546,-0.228882,0.034307,-0.192799,7.956255,5.375007,55.958225
0.473394,0.366211,-0.320435,0.019048,-0.188009,8.115523,5.386982,56.424294
0.488988,0.396729,-0.236511,0.049565,-0.186812,7.961045,5.374408,55.977177
0.504587,0.579834,-0.267029,0.064824,-0.192200,7.818541,5.375007,55.492672
0.520184,0.373840,-0.251770,0.080083,-0.191602,8.114326,5.383988,56.435078
0.535790,0.465393,-0.213623,-0.011470,-0.207169,7.948471,5.384587,55.884842
0.551383,0.320435,-0.205994,0.125859,-0.189207,7.825128,5.401352,55.384338
0.566987,0.450134,-0.335693,0.087712,-0.192200,7.819739,5.380994,55.466988
0.582554,0.411987,-0.274658,0.049565,-0.196392,7.953860,5.378599,55.932457
0.598128,0.473022,-0.205994,0.080083,-0.186213,7.977810,5.370815,56.050800
0.613713,0.450134,-0.297546,0.003789,-0.209564,7.964637,5.396562,55.879791
0.629290,0.427246,-0.251770,0.087712,-0.196392,7.960446,5.380395,55.945583
0.644874,0.366211,-0.328064,0.034307,-0.216749,7.971224,5.373210,56.017036
0.660441,0.205994,-0.328064,0.064824,-0.195194,7.949070,5.362433,55.996445
0.676020,0.305176,-0.396729,0.102971,-0.192799,7.978409,5.367223,56.070549
0.691584,0.297546,-0.343323,0.011418,-0.196392,7.947274,5.388179,55.863087
0.707154,0.228882,-0.289917,0.011418,-0.205972,7.956854,5.373210,55.969105
0.722733,0.320435,-0.289917,0.003789,-0.195194,7.973619,5.380994,55.986565
0.738310,0.366211,-0.221252,0.019048,-0.196990,7.961045,5.370217,55.997902
0.753904,0.411987,-0.297546,-0.011470,-0.195194,7.967032,5.401352,55.864189
0.769504,0.343323,-0.320435,0.164006,-0.199385,7.970625,5.386383,55.949989
0.785084,0.320435,-0.373840,0.125859,-0.190404,7.952662,5.370217,55.969910
0.800661,0.373840,-0.251770,0.041936,-0.193997,7.946675,5.392969,55.837433
0.816250,0.488281,-0.312805,-0.049617,-0.202978,7.958650,5.383988,55.921841
0.831833,0.381470,-0.205994,0.118230,-0.201182,7.976014,5.374408,56.027073
0.847458,0.480652,-0.251770,0.049565,-0.205373,7.952662,5.364828,55.996586
0.863033,0.411987,-0.373840,0.034307,-0.188608,7.982001,5.393568,55.952465
