Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2,Tilt_Angle_Deg
0.005603,0.411987,-0.274658,0.064824,0.083826,-8.393945,-5.494790,-123.209305
0.021281,0.305176,-0.305176,0.095342,0.111368,-8.399932,-5.484611,-123.141930
0.036885,0.419617,-0.389099,0.011418,0.088017,-8.390951,-5.496586,-123.227257
0.052498,0.289917,-0.213623,0.087712,0.094005,-8.413105,-5.489401,-123.123734
0.068097,0.343323,-0.320435,0.057195,0.086819,-8.393346,-5.470241,-123.093712
0.083675,0.373840,-0.282288,0.034307,0.098196,-8.394544,-5.479222,-123.132980
0.099260,0.335693,-0.259399,0.095342,0.073048,-8.415500,-5.470839,-123.027527
0.114821,0.381470,-0.335693,0.087712,0.101190,-8.408914,-5.489401,-123.136795
0.130395,0.396729,-0.221252,0.011418,0.118553,-8.407716,-5.482814,-123.109055
0.145989,0.419617,-0.343323,0.019048,0.087418,-8.403524,-5.498981,-123.199371
0.161574,0.366211,-0.259399,-0.011470,0.107177,-8.397537,-5.498981,-123.218086
0.177165,0.366211,-0.251770,0.049565,0.086221,-8.410111,-5.495388,-123.161659
0.192765,0.236511,-0.175476,0.003789,0.084424,-8.417895,-5.512752,-123.220192
0.208353,0.312805,-0.267029,0.110601,0.101190,-8.407716,-5.484012,-123.114792
0.223948,0.404358,-0.404358,0.034307,0.101788,-8.402926,-5.473234,-123.078148
0.239551,0.328064,-0.289917,0.148748,0.093406,-8.411907,-5.512752,-123.238876
0.255161,0.389099,-0.228882,0.034307,0.119751,-8.403524,-5.474432,-123.082031
0.270772,0.312805,-0.198364,0.019048,0.099992,-8.390352,-5.489999,-123.197639
0.286387,0.404358,-0.205994,0.049565,0.095202,-8.401729,-5.499579,-123.207840
0.301967,0.244141,-0.167847,-0.003840,0.092807,-8.396339,-5.491796,-123.187500
0.317553,0.282288,-0.251770,0.026677,0.088017,-8.399932,-5.485808,-123.147652
0.333163,0.358582,-0.366211,-0.049617,0.105381,-8.397537,-5.489999,-123.175179
0.348773,0.373840,-0.213623,0.003789,0.086819,-8.414303,-5.497783,-123.160019
0.364386,0.267029,-0.137329,0.110601,0.088616,-8.405920,-5.484012,-123.120377
0.379996,0.389099,-0.205994,0.041936,0.105381,-8.408315,-5.470241,-123.047035
0.395605,0.434875,-0.205994,0.003789,0.096998,-8.399932,-5.498382,-123.207733
0.411226,0.289917,-0.312805,0.041936,0.094603,-8.389154,-5.493592,-123.218567
0.426836,0.305176,-0.183105,-0.019099,0.090412,-8.403524,-5.489999,-123.156479
0.442436,0.427246,-0.282288,0.118230,0.113165,-8.411907,-5.484611,-123.104568
0.458038,0.373840,-0.396729,0.095342,0.087418,-8.404123,-5.487006,-123.140305
0.473622,0.274658,-0.213623,0.072454,0.095202,-8.421488,-5.496586,-123.131920
0.489217,0.251770,-0.358582,-0.064875,0.095801,-8.405321,-5.476228,-123.085022
0.504818,0.389099,-0.343323,0.011418,0.101190,-8.399932,-5.510357,-123.264885
0.520424,0.434875,-0.289917,0.041936,0.099393,-8.407117,-5.489401,-123.142410
0.536024,0.381470,-0.267029,-0.026729,0.098196,-8.406519,-5.487006,-123.132820
0.551632,0.404358,-0.312805,0.110601,0.091610,-8.392148,-5.492394,-123.203468
0.567224,0.244141,-0.244141,0.102971,0.099393,-8.397537,-5.480419,-123.129364
0.582833,0.396729,-0.267029,0.072454,0.096400,-8.396339,-5.485808,-123.158882
0.598426,0.427246,-0.213623,0.019048,0.103585,-8.395143,-5.498981,-123.225571
0.614015,0.419617,-0.320435,0.003789,0.098196,-8.393346,-5.488203,-123.179688
0.629626,0.328064,-0.236511,0.034307,0.098795,-8.390352,-5.514548,-123.314873
0.645226,0.259399,-0.236511,0.019048,0.107776,-8.386760,-5.483413,-123.177383
0.660840,0.274658,-0.289917,0.026677,0.087418,-8.384365,-5.486407,-123.199196
0.676448,0.129700,-0.465393,0.034307,0.089214,-8.384963,-5.503172,-123.277466
0.692056,0.320435,-0.106812,-0.011470,0.088017,-8.405321,-5.466049,-123.036285
0.707656,0.442505,-0.236511,0.095342,0.094005,-8.398136,-5.507962,-123.259079
0.723260,0.450134,-0.335693,0.003789,0.092807,-8.400531,-5.488203,-123.157242
0.738863,0.389099,-0.213623,-0.041987,0.087418,-8.407117,-5.503172,-123.208160
0.754467,0.427246,-0.320435,0.080083,0.098196,-8.419092,-5.501376,-123.162231
0.770080,0.373840,-0.205994,0.026677,0.098196,-8.408315,-5.484012,-123.112900
0.785687,0.373840,-0.350952,-0.019099,0.092807,-8.380174,-5.490598,-123.232376
0.801281,0.297546,-0.236511,0.133489,0.096998,-8.408914,-5.481617,-123.099594
0.816924,0.312805,-0.274658,0.057195,0.091610,-8.388556,-5.485209,-123.180359
0.832502,0.305176,-0.404358,0.072454,0.114961,-8.383167,-5.495987,-123.248772
0.848096,0.328064,-0.366211,0.118230,0.086819,-8.394544,-5.497184,-123.218864
0.863696,0.274658,-0.274658,0.026677,0.089214,-8.401729,-5.505567,-123.236420
0.879310,0.282288,-0.282288,0.057195,0.105980,-8.396339,-5.491197,-123.184647
0.894928,0.251770,-0.167847,0.019048,0.089214,-8.411907,-5.495388,-123.156059
0.910542,0.297546,-0.335693,0.019048,0.096400,-8.395741,-5.489401,-123.177925
0.926159,0.289917,-0.282288,0.011418,0.084424,-8.406519,-5.493592,-123.164291
0.941743,0.274658,-0.274658,0.125859,0.088616,-8.423284,-5.488802,-123.089172
0.957349,0.404358,-0.259399,0.041936,0.110171,-8.405920,-5.491796,-123.157570
0.972953,0.381470,-0.198364,0.141118,0.074246,-8.374186,-5.491796,-123.256882
0.988556,0.480652,-0.305176,0.041936,0.094005,-8.399932,-5.498382,-123.207733
1.004172,0.282288,-0.259399,0.026677,0.107776,-8.414303,-5.491197,-123.128586
1.019761,0.404358,-0.312805,0.171636,0.084424,-8.402328,-5.492394,-123.171654
1.035369,0.289917,-0.320435,0.011418,0.104183,-8.392148,-5.507363,-123.274971
1.050976,0.289917,-0.228882,-0.003840,0.091011,-8.410111,-5.498382,-123.175949
1.066575,0.205994,-0.183105,-0.003840,0.113165,-8.398136,-5.497783,-123.210495
1.082172,0.328064,-0.312805,0.026677,0.079036,-8.413105,-5.487006,-123.112289
1.097774,0.358582,-0.343323,0.011418,0.089813,-8.390951,-5.496586,-123.227257
1.113375,0.411987,-0.335693,0.087712,0.095202,-8.402926,-5.479821,-123.109680
1.128997,0.396729,-0.030518,-0.072505,0.101788,-8.407716,-5.488203,-123.134811
1.144615,0.228882,-0.297546,0.072454,0.110171,-8.411907,-5.505567,-123.204620
1.160227,0.396729,-0.282288,0.095342,0.080233,-8.403524,-5.494191,-123.176506
1.175841,0.335693,-0.259399,0.034307,0.099393,-8.400531,-5.502573,-123.225876
1.191447,0.297546,-0.312805,0.011418,0.095202,-8.414303,-5.479222,-123.071350
1.207050,0.328064,-0.305176,0.011418,0.098196,-8.416099,-5.502573,-123.177269
1.222649,0.396729,-0.312805,0.102971,0.098795,-8.415500,-5.505567,-123.193420
1.238246,0.404358,-0.167847,0.026677,0.098795,-8.387359,-5.502573,-123.267105
1.253855,0.259399,-0.320435,-0.095393,0.099393,-8.388556,-5.489401,-123.200401
1.269463,0.328064,-0.289917,-0.011470,0.079036,-8.408914,-5.501376,-123.193977
1.285050,0.404358,-0.259399,0.026677,0.089214,-8.405920,-5.492993,-123.163307
1.300648,0.335693,-0.328064,0.064824,0.090412,-8.405920,-5.493592,-123.166168
1.316236,0.335693,-0.267029,-0.003840,0.085023,-8.402926,-5.492394,-123.169785
1.331841,0.259399,-0.183105,-0.087764,0.101190,-8.395741,-5.510357,-123.278000
1.347436,0.373840,-0.251770,0.156377,0.101788,-8.401130,-5.496586,-123.195427
1.363035,0.419617,-0.228882,0.087712,0.095801,-8.410111,-5.495388,-123.161659
1.378641,0.274658,-0.396729,0.072454,0.091011,-8.417895,-5.495388,-123.137398
1.394245,0.335693,-0.236511,0.041936,0.094005,-8.408315,-5.486407,-123.124367
1.409856,0.358582,-0.213623,0.202153,0.120948,-8.493937,-5.513351,-122.987312
1.425464,1.075745,0.152588,0.911687,0.180225,-8.390951,-5.466049,-123.081100
1.441077,0.091553,0.221252,0.926946,0.100591,-8.409513,-5.423538,-122.819153
1.456685,-0.892639,0.030518,1.026128,0.022154,-8.360415,-5.455272,-123.124939
1.472303,-1.823425,0.297546,0.820134,0.094603,-8.405321,-5.468444,-123.047760
1.487911,-2.029419,-0.068665,0.186895,0.038919,-8.386161,-5.504370,-123.279434
1.503522,-1.548767,-0.297546,-0.316646,0.032932,-8.574769,-5.540295,-122.867149
1.519128,-0.923157,-0.526428,-0.789668,0.092807,-8.363408,-5.576819,-123.695816
1.534718,-0.526428,-0.656128,-0.957515,0.087418,-8.378976,-5.530116,-123.424767
1.550318,-0.663757,-0.930786,-1.209285,0.085023,-8.293354,-5.534906,-123.718765
1.565908,-1.098633,-1.174927,-1.422908,0.096998,-8.317304,-5.547480,-123.702515
1.581501,-0.579834,-0.709534,-0.896479,0.077239,-8.403524,-5.590590,-123.634521
1.597099,0.373840,-0.007629,0.087712,0.176633,-8.383167,-5.578016,-123.639114
1.612697,0.968933,-0.007629,0.598882,0.159269,-8.347840,-5.550474,-123.619911
1.628326,1.319885,0.106812,1.026128,0.091011,-8.318501,-5.564245,-123.778557
1.643937,0.801086,0.297546,1.125310,0.027543,-8.308922,-5.544486,-123.714912
1.659542,0.762939,0.267029,1.018499,0.052690,-8.341254,-5.567239,-123.720505
1.675144,1.441956,-0.160217,0.301335,0.126936,-8.365205,-5.572628,-123.670258
1.690733,2.197266,-0.511169,-0.309016,0.053888,-8.387359,-5.564844,-123.563477
1.706326,2.838135,-0.549316,-0.476863,0.044907,-8.368797,-5.518740,-123.402557
1.721929,2.937317,-0.747681,-0.591304,0.104183,-8.364007,-5.515746,-123.403336
1.737505,2.738953,-0.602722,-0.843074,0.120350,-8.368797,-5.464253,-123.141792
1.753098,2.456665,-0.877380,-0.972773,0.119152,-8.444241,-5.424735,-122.717438
1.768706,2.250671,-0.648499,-0.804927,0.090412,-8.472382,-5.463654,-122.817085
1.784300,2.204895,-0.305176,-0.400569,0.110171,-8.484956,-5.435513,-122.643860
1.799894,1.625061,-0.122070,-0.087764,0.167053,-8.490943,-5.370248,-122.312035
1.815496,0.907898,-0.396729,0.209783,0.105980,-8.453221,-5.375637,-122.453407
1.831097,-0.205994,-0.251770,0.102971,0.055684,-8.480764,-5.361267,-122.299759
1.846710,-1.144409,0.030518,0.431035,0.078437,-8.472382,-5.390606,-122.466805
1.862321,-1.899719,-0.099182,0.461553,0.104183,-8.458012,-5.430723,-122.703720
1.877927,-2.059937,0.045776,0.560735,0.135917,-8.425080,-5.467845,-122.983414
1.893537,-0.068665,0.053406,0.888799,0.131127,-8.399932,-5.494191,-123.187721
1.909141,-1.617432,0.175476,0.957463,0.073647,-8.378377,-5.533709,-123.443771
1.924751,-1.350403,0.007629,0.637029,0.061073,-8.351433,-5.536702,-123.542961
1.940339,-1.007080,-0.335693,0.263188,0.056283,-8.374784,-5.563646,-123.597412
1.955941,-0.556946,-0.350952,-0.194575,0.045505,-8.344248,-5.545085,-123.605621
1.971545,-0.221252,-0.251770,-0.270869,0.111967,-8.359816,-5.538498,-123.525047
1.987147,-0.091553,-0.434875,-0.179316,0.116757,-8.341254,-5.537900,-123.580856
2.002745,-0.442505,-0.511169,-0.377681,0.062271,-8.343649,-5.530116,-123.536156
2.018345,-0.366211,-0.419617,-0.408198,0.053289,-8.358618,-5.551671,-123.591537
2.033942,0.099182,-0.175476,-0.278499,0.095202,-8.365803,-5.571430,-123.662689
2.049542,0.617981,-0.335693,0.049565,0.148491,-8.361013,-5.710341,-124.331993
2.065140,1.312256,-0.305176,0.186895,0.104782,-8.344248,-5.555862,-123.656929
2.080749,1.380920,-0.198364,0.507329,0.083826,-8.337662,-5.537301,-123.589378
2.096352,1.472473,0.175476,0.522588,0.065264,-8.340056,-5.517542,-123.487473
2.111954,1.571655,-0.045776,0.385259,0.100591,-8.387958,-5.520536,-123.350922
2.127554,3.692627,-0.328064,-0.217463,0.124541,-8.472980,-5.551671,-123.233650
2.143144,2.342224,-0.404358,-0.484492,0.062869,-8.410709,-5.526524,-123.308189
2.158750,2.624512,-0.602722,-0.721003,0.064666,-8.408914,-5.475030,-123.068100
2.174365,2.265930,-0.671387,-0.659968,0.117356,-8.429870,-5.552270,-123.370590
2.189974,1.716614,-0.762939,-0.522639,0.085023,-8.402926,-5.455272,-122.992081
2.205577,0.839233,-0.610352,-0.667598,0.079634,-8.475974,-5.425932,-122.625526
2.221175,0.587463,-0.320435,-0.293757,0.128134,-8.468190,-5.436111,-122.698227
2.236762,0.335693,-0.251770,0.041936,0.119751,-8.467591,-5.559455,-123.287186
2.252368,0.137329,0.030518,0.362371,0.125140,-8.467591,-5.423538,-122.639778
2.267961,-0.358582,0.175476,0.843022,0.129930,-8.434061,-5.445093,-122.846596
2.283557,-1.014709,-0.038147,0.705693,0.073048,-8.423882,-5.436710,-122.837891
2.299140,-1.312256,0.061035,0.629399,0.051493,-8.399334,-5.448087,-122.968788
2.314734,-1.510620,-0.152588,0.209783,0.074246,-8.393346,-5.525925,-123.359688
2.330335,-1.434326,-0.205994,0.232671,0.109572,-8.377179,-5.542091,-123.487427
2.345935,-1.113892,-0.244141,0.026677,0.111368,-8.377179,-5.536702,-123.461792
2.361558,-0.465393,-0.480652,-0.103022,0.083227,-8.393945,-5.546881,-123.457497
2.377173,-0.007629,-0.198364,-0.186946,0.079634,-8.344847,-5.551671,-123.635086
2.392773,0.061035,-0.366211,-0.217463,0.091011,-8.347241,-5.549875,-123.618950
2.408359,0.122070,-0.457764,-0.125911,0.096998,-8.350236,-5.524727,-123.489632
2.423958,0.190735,-0.259399,0.095342,0.105381,-8.375383,-5.540894,-123.487389
2.439586,0.343323,-0.129700,0.156377,0.098196,-8.362210,-5.542091,-123.534599
2.455189,1.228333,-0.495911,0.148748,0.005988,-8.340056,-5.635497,-124.047462
2.470801,2.403259,-0.633240,-0.095393,0.083227,-8.277187,-5.612744,-124.141121
2.486394,3.517151,-0.411987,-0.492122,0.066462,-8.259225,-5.609750,-124.184753
2.502004,4.287720,-0.686646,-0.698115,0.114961,-8.357421,-5.546282,-123.569679
2.517617,4.608154,-0.740051,-1.155879,0.073048,-8.395143,-5.525925,-123.354065
2.533229,4.554749,-1.014709,-1.735713,0.021555,-8.490344,-5.410964,-122.509689
2.548842,4.203796,-0.953674,-1.888301,0.024549,-8.533455,-5.304984,-121.867920
2.564448,3.356934,-1.121521,-1.743342,0.127535,-8.533455,-5.299595,-121.841835
2.580060,1.792908,-0.907898,-1.186396,0.187410,-8.534054,-5.284028,-121.764542
2.595663,0.190735,-0.617981,-0.423457,0.149689,-8.586145,-5.301392,-121.692657
2.611259,-0.885010,-0.411987,0.286077,0.111967,-8.568781,-5.303787,-121.756111
2.626860,-1.457214,0.221252,0.850652,0.001198,-8.535850,-5.332527,-121.993896
2.642462,-2.166748,0.610352,1.255010,0.134720,-8.493338,-5.366057,-122.284538
2.658067,-2.647400,0.541687,1.560186,0.136516,-8.423284,-5.408569,-122.704414
2.673680,-3.273010,0.495911,1.682256,0.128134,-8.415500,-5.467247,-123.010330
2.689303,-2.731323,0.335693,1.506780,0.046703,-8.381969,-5.531313,-123.421066
2.704914,-1.937866,0.129700,0.980352,0.148491,-8.335267,-5.566640,-123.736664
2.720524,-1.274109,-0.305176,0.308965,0.095202,-8.293354,-5.582807,-123.947113
2.736129,-0.648499,-0.259399,-0.316646,0.128732,-8.272996,-5.598374,-124.086395
2.751708,0.106812,-0.389099,-0.568416,0.092208,-8.307724,-5.622324,-124.088516
2.767306,0.961304,-0.442505,-0.339534,0.134720,-8.328082,-5.623522,-124.029121
2.782914,2.212524,-0.183105,-0.286128,0.113165,-8.374186,-5.589992,-123.724167
2.798521,3.387451,-0.480652,-0.530269,0.071252,-8.378377,-5.529517,-123.423798
2.814123,3.730774,-0.602722,-0.804927,0.093406,-8.384365,-5.475030,-123.144730
2.829719,3.547668,-0.755310,-1.255061,0.083826,-8.404722,-5.478623,-123.098343
2.845322,3.341675,-0.801086,-1.262690,0.086819,-8.413704,-5.433118,-122.852211
2.860932,3.540039,-1.144409,-1.483943,0.114362,-8.439450,-5.455272,-122.878685
2.876544,3.906250,-1.197815,-1.537349,0.091011,-8.514295,-5.466648,-122.702705
2.892146,4.676819,-0.854492,-1.155879,0.128732,-8.412506,-5.479821,-123.079819
2.907761,4.676819,-0.724792,-0.858333,0.150886,-8.505912,-5.333724,-122.090202
2.923384,4.508972,-0.350952,-0.507380,0.162861,-8.476573,-5.339113,-122.205475
2.938995,4.264832,-0.282288,-0.240352,0.167651,-8.524473,-5.368452,-122.201454
2.954592,3.654480,-0.427246,-0.286128,0.086819,-8.493937,-5.330132,-122.109169
2.970186,3.128052,-0.427246,-0.133540,0.103585,-8.506511,-5.338514,-122.111542
2.985770,2.655029,-0.389099,-0.194575,0.114362,-8.501122,-5.367255,-122.266617
3.001365,2.372742,-0.473022,-0.293757,0.123942,-8.476573,-5.383421,-122.419395
3.016971,2.441406,-0.564575,-0.309016,0.108375,-8.497529,-5.360070,-122.242905
3.032578,2.548218,-0.663757,-0.293757,0.089813,-8.468789,-5.415155,-122.595856
3.048181,2.624512,-0.389099,-0.423457,0.108375,-8.519085,-5.310373,-121.937347
3.063763,2.349854,-0.343323,-0.446345,0.113165,-8.522677,-5.337915,-122.059685
3.079356,2.304077,-0.305176,-0.431086,0.140109,-8.524473,-5.307978,-121.909492
3.094960,1.991272,-0.381470,-0.293757,0.180824,-8.534054,-5.304984,-121.866119
3.110565,2.098083,-0.541687,-0.324275,0.148491,-8.528665,-5.333126,-122.018471
3.126168,2.334595,-0.228882,-0.064875,0.083826,-8.493338,-5.409766,-122.494781
3.141769,2.609253,-0.190735,-0.034358,0.074844,-8.490943,-5.371446,-122.317818
3.157388,2.357483,-0.129700,-0.202205,0.128134,-8.558602,-5.249899,-121.525215
3.172997,1.754761,-0.343323,-0.263240,0.196392,-8.544232,-5.270257,-121.667130
3.188605,1.541138,-0.717163,-0.049617,0.167651,-8.535251,-5.296003,-121.819023
3.204221,1.770020,-0.259399,0.278447,0.141905,-8.532856,-5.255288,-121.628433
3.219825,1.701355,0.022888,0.354741,0.110770,-8.557405,-5.285225,-121.700310
3.235420,1.472473,-0.053406,0.186895,0.091011,-8.525671,-5.284028,-121.789742
3.251027,1.342773,-0.587463,-0.225093,0.095202,-8.526868,-5.356477,-122.136543
3.266625,1.785278,-0.740051,-0.278499,0.116158,-8.505912,-5.394797,-122.384529
3.282208,2.670288,-0.511169,-0.118281,0.107776,-8.483758,-5.400186,-122.478081
3.297802,3.738403,-0.053406,0.064824,0.083826,-8.515491,-5.354681,-122.162361
3.313401,4.180908,-0.022888,-0.011470,0.102986,-8.558003,-5.252294,-121.538643
3.329000,4.020691,-0.160217,-0.301387,0.132325,-8.442444,-5.289416,-122.068237
3.344605,3.753662,-0.587463,-0.530269,0.128732,-8.556806,-5.258880,-121.574242
3.360216,4.112244,-0.740051,-0.835444,0.091011,-8.528665,-5.283429,-121.777832
3.375819,4.379272,-0.312805,-0.629451,0.092807,-8.551417,-5.260676,-121.599075
3.391418,4.478455,0.442505,-0.240352,0.127535,-8.613688,-5.182240,-121.032318
3.407014,3.623962,0.175476,-0.156428,0.176034,-8.719069,-5.039137,-120.025520
3.422619,2.540588,-0.328064,-0.171687,0.168849,-8.647218,-5.095420,-120.508949
3.438214,1.838684,-0.541687,-0.408198,0.189207,-8.596923,-5.176252,-121.052368
3.453785,1.945496,-0.335693,-0.263240,0.132924,-8.581355,-5.199005,-121.209518
3.469360,2.944946,-0.030518,0.164006,0.152084,-8.552615,-5.230140,-121.446831
3.484939,3.196716,0.183105,2.300237,0.152084,-8.733438,-5.207387,-120.805870
3.500507,3.181458,-0.419617,0.156377,0.115560,-8.597522,-5.081050,-120.582672
3.516096,3.128052,-0.358582,-0.087764,0.123344,-8.629854,-5.161882,-120.885445
3.531677,3.494263,-0.564575,-0.469233,0.028740,-8.620274,-5.242713,-121.307304
3.547293,4.592896,-0.144958,-0.431086,0.108973,-8.546028,-5.230739,-121.469406
3.562911,4.753113,0.007629,-0.347163,0.234712,-8.528066,-5.034945,-120.557480
3.578513,4.348755,0.190735,-0.339534,0.167053,-8.623867,-5.085840,-120.529564
3.594120,4.287720,-0.221252,-0.370051,0.152084,-8.671767,-5.108593,-120.502594
3.609712,4.638672,-0.694275,-0.637080,0.164059,-8.659193,-5.158888,-120.785217
3.625314,5.798340,-0.984192,-0.339534,0.172441,-8.610694,-5.202597,-121.140457
3.640917,6.515503,0.144958,0.171636,0.139510,-8.626262,-5.022971,-120.211739
3.656521,5.744934,0.633240,0.514959,0.095801,-8.774154,-5.025964,-119.804718
3.672120,5.325317,0.213623,0.164006,0.083826,-8.735235,-4.910405,-119.341980
3.687723,4.646301,-0.900269,-0.133540,0.216151,-8.721463,-4.948126,-119.568420
3.703328,4.409790,-1.396179,-0.400569,0.273631,-8.686736,-5.031952,-120.082352
3.718944,5.241394,-0.808716,-0.324275,0.136516,-8.652607,-5.061291,-120.325241
3.734535,5.554199,-0.640869,0.370000,0.082029,-8.671168,-5.054705,-120.239296
3.750143,5.958557,-0.488281,0.255559,0.131127,-8.731643,-5.006206,-119.827393
3.765756,5.653381,-0.381470,0.003789,0.089214,-8.763975,-4.983453,-119.623825
3.781358,6.065369,-0.686646,-0.247981,0.145497,-8.729247,-5.010397,-119.854874
3.796964,6.401062,-0.648499,-0.194575,0.161065,-8.775950,-4.939145,-119.370995
3.812567,7.057190,0.129700,0.095342,0.122745,-8.738828,-4.927769,-119.418373
3.828171,6.492615,0.236511,0.225042,0.143102,-8.754993,-4.815802,-118.813576
3.843772,6.401062,-0.045776,0.064824,0.153281,-8.732840,-4.884059,-119.217194
3.859376,6.027222,-0.335693,-0.019099,0.165256,-8.845406,-4.909207,-119.030304
3.874995,6.652832,-0.602722,-0.316646,0.205373,-8.732840,-4.928367,-119.438148
3.890609,7.354736,-0.518799,0.247930,0.211360,-8.740623,-4.828974,-118.919548
3.906225,7.324219,-0.030518,0.392888,0.208367,-8.828042,-4.976268,-119.409462
3.921844,4.104614,-0.007629,0.385259,0.050295,-9.129215,-5.068476,-119.038719
3.937455,6.652832,-0.045776,0.789617,0.131127,-8.689131,-4.637372,-118.088753
3.953074,6.843567,-0.984192,0.019048,0.182021,-8.892708,-3.752413,-112.878052
3.968684,4.013062,-0.778198,0.270818,0.170645,-8.726852,-4.834363,-118.984871
3.984282,6.050110,-0.450134,0.324224,0.090412,-8.866961,-4.899028,-118.920807
3.999884,5.462646,0.053406,0.164006,-0.031734,-8.925040,-4.664915,-117.595039
4.015470,4.562378,-0.236511,0.354741,0.132325,-8.890312,-4.622404,-117.471603
4.031067,4.272461,-0.396729,-0.377681,0.078437,-8.834628,-4.501455,-116.999939
4.046678,3.540039,-0.862122,-0.614192,0.146096,-8.918454,-4.722395,-117.901588
4.062277,3.479004,-0.610352,-0.255610,-0.026345,-8.929232,-4.943336,-118.969467
4.077863,1.998901,-0.053406,-0.400569,0.116757,-8.926238,-4.669106,-117.613014
4.093467,3.486633,-0.427246,-0.217463,0.207169,-8.902886,-4.602046,-117.335167
4.109078,2.624512,-0.572205,-0.209834,0.185614,-8.960965,-4.584083,-117.092529
4.124693,2.433777,-0.808716,-0.362422,0.207768,-8.959768,-4.566121,-117.004532
4.140310,2.372742,-0.366211,-0.309016,0.129331,-8.917855,-4.639169,-117.483955
4.155900,3.837585,-0.007629,0.293706,0.173639,-8.954379,-4.591269,-117.146019
4.171500,1.724243,-0.015259,0.507329,0.166454,-8.926238,-4.505048,-116.779953
4.187099,1.785278,0.091553,0.530217,0.175435,-8.933423,-4.785864,-118.179100
4.202706,3.822327,-0.320435,0.110601,0.080233,-8.925639,-4.777481,-118.158081
4.218305,2.059937,-0.076294,0.202153,0.130529,-8.900492,-4.641564,-117.541817
