Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2
0.005493,0.465393,-0.320435,-0.034358,-0.095202,8.247849,4.881034
0.021162,0.442505,-0.190735,-0.003840,-0.053888,8.270601,4.859479
0.036914,0.396729,-0.389099,0.026677,-0.095202,8.306526,4.846905
0.052735,0.457764,-0.274658,0.095342,-0.113165,8.299341,4.854689
0.068311,0.366211,-0.259399,0.179265,-0.045505,8.270601,4.821757
0.084469,0.389099,-0.297546,0.041936,-0.075443,8.296947,4.852293
0.100577,0.205994,-0.244141,0.080083,-0.044308,8.274793,4.853491
0.116492,0.343323,-0.244141,0.080083,-0.041314,8.298742,4.858281
0.132346,0.511169,-0.289917,-0.011470,-0.058079,8.300539,4.843911
0.148242,0.328064,-0.221252,0.011418,-0.046104,8.255632,4.869059
0.164143,0.305176,-0.328064,0.003789,-0.091011,8.262218,4.848701
0.180158,0.404358,-0.427246,0.087712,-0.092807,8.291557,4.867861
0.196194,0.282288,-0.259399,0.034307,-0.062869,8.284971,4.721167
0.212295,0.389099,-0.152588,-0.034358,-0.063468,8.303533,4.866664
0.228386,0.419617,-0.274658,0.057195,-0.038320,8.143066,4.872053
0.244363,0.419617,-0.236511,-0.064875,-0.035925,8.252639,4.886423
0.263190,0.404358,-0.282288,-0.041987,-0.083826,8.288564,4.726555
0.279148,0.450134,-0.305176,0.041936,-0.064067,8.288564,4.846306
0.295136,0.305176,-0.175476,0.186895,-0.035925,8.296947,4.852892
0.310956,0.312805,-0.320435,0.034307,-0.056283,8.426277,4.860077
0.327063,0.366211,-0.122070,0.019048,-0.016765,8.288564,4.849899
0.342762,0.442505,-0.175476,0.034307,-0.103585,8.297545,4.847504
0.358443,0.373840,-0.205994,-0.003840,-0.074844,8.290958,4.848103
0.374176,0.236511,-0.282288,-0.026729,-0.052690,8.280181,4.863071
0.389773,0.396729,-0.381470,-0.034358,-0.085622,8.274194,4.852892
0.405445,0.228882,-0.221252,0.095342,-0.043110,8.302335,4.855288
0.421021,0.411987,-0.228882,0.034307,-0.052690,8.276588,4.874448
0.436644,0.358582,-0.228882,0.011418,-0.048499,8.293953,4.868460
0.452316,0.305176,-0.328064,0.072454,-0.058079,8.294552,4.855288
0.468006,0.366211,-0.152588,-0.019099,-0.091011,8.296348,4.853491
0.483936,0.411987,-0.259399,-0.019099,-0.045505,8.253238,4.836127
0.499865,0.297546,-0.396729,0.003789,-0.077838,8.275392,4.837924
0.515769,0.251770,-0.244141,-0.011470,-0.069456,8.283175,4.846306
0.531687,0.381470,-0.190735,0.049565,-0.057480,8.275990,4.867262
0.547518,0.404358,-0.251770,0.049565,-0.069456,8.284971,4.849300
0.563190,0.450134,-0.221252,0.019048,-0.048499,8.143066,4.866065
0.580682,0.251770,-0.289917,-0.064875,-0.051493,8.268207,4.853491
0.600577,0.198364,-0.198364,0.034307,-0.063468,8.267009,4.838522
0.617018,0.305176,-0.251770,0.011418,-0.067061,8.299940,4.854090
0.635544,0.244141,-0.061035,0.087712,-0.055684,8.320298,4.841516
0.653257,0.289917,-0.289917,0.019048,-0.043709,8.268207,4.848103
0.669007,0.343323,-0.312805,0.057195,-0.070054,8.277187,4.841516
0.686125,0.320435,-0.450134,0.003789,-0.089813,8.298742,4.845109
0.702160,0.373840,-0.335693,0.026677,-0.063468,8.274194,4.857084
0.721589,0.358582,-0.190735,0.072454,-0.044907,8.284372,4.852892
0.737478,0.373840,-0.099182,0.057195,-0.062271,8.286768,4.857084
0.753291,0.236511,-0.152588,-0.072505,-0.029339,8.272996,4.869658
0.768897,0.282288,-0.175476,-0.118281,-0.065863,8.285570,4.860676
0.785019,0.457764,-0.320435,-0.041987,-0.059277,8.280181,4.706198
0.801240,0.396729,-0.183105,-0.080134,-0.078437,8.290360,4.847504
0.816935,0.434875,-0.320435,0.026677,-0.063468,8.289163,4.851096
0.832816,0.236511,-0.122070,0.041936,-0.036524,8.429870,4.897200
0.848421,0.297546,-0.305176,0.087712,-0.051493,8.281978,4.860676
0.864265,0.396729,-0.259399,0.057195,-0.068857,8.133487,4.861874
0.879991,0.205994,-0.335693,0.072454,-0.064067,8.283773,4.870256
0.896014,0.366211,-0.244141,-0.057246,-0.071252,8.255632,4.860077
0.911651,0.335693,-0.350952,-0.041987,-0.076042,8.281978,4.853491
0.927460,0.396729,-0.297546,0.034307,-0.080233,8.272397,4.854689
0.943116,0.495911,-0.267029,-0.003840,-0.102986,8.289163,4.849899
0.959028,0.244141,-0.267029,0.102971,-0.078437,8.280780,4.848103
0.974635,0.450134,-0.244141,0.118230,-0.058678,8.294552,4.842714
0.990605,0.320435,-0.213623,0.011418,-0.032932,8.288564,4.865466
1.006270,0.411987,-0.343323,-0.034358,-0.037123,8.287965,4.714580
1.021965,0.404358,-0.251770,-0.080134,-0.037123,8.283773,4.718771
1.037991,0.259399,-0.282288,0.049565,-0.065264,8.264614,4.851695
1.053584,0.350952,-0.320435,-0.186946,-0.078437,8.289163,4.869059
1.069147,0.289917,-0.350952,0.011418,-0.062271,8.269403,4.873849
1.085300,0.251770,-0.312805,-0.011470,-0.099992,8.426876,4.860676
1.101075,0.244141,-0.289917,0.125859,-0.062271,8.305329,4.881034
1.116738,0.389099,-0.358582,-0.026729,-0.062271,8.270601,4.863071
1.132412,0.350952,-0.137329,0.072454,-0.062271,8.293953,4.860077
1.148480,0.236511,-0.144958,-0.087764,-0.046104,8.287965,4.854090
1.164426,0.381470,-0.335693,0.034307,-0.068258,8.276588,4.851695
1.180526,0.282288,-0.267029,0.064824,-0.027543,8.321495,4.854090
1.196551,0.312805,-0.152588,0.057195,-0.077239,8.269403,4.840319
1.212521,0.404358,-0.282288,-0.019099,-0.046703,8.132289,4.852892
1.228285,0.221252,-0.328064,0.003789,-0.046703,8.286768,4.854090
1.244097,0.526428,-0.274658,0.011418,-0.089813,8.272996,4.848103
1.259764,0.328064,-0.213623,0.049565,-0.065863,8.280780,4.840319
1.275466,0.251770,-0.312805,0.011418,-0.056283,8.281978,4.857683
1.291060,0.396729,-0.350952,0.049565,-0.058079,8.293354,4.831936
1.306762,0.167847,-0.167847,0.072454,-0.060474,8.273595,4.853491
1.322334,0.427246,-0.335693,0.087712,-0.076042,8.304730,4.837325
1.337970,0.106812,-0.282288,0.156377,-0.049098,8.281978,4.864269
1.353605,0.450134,-0.289917,-0.041987,-0.053289,8.283175,4.856485
1.369235,0.457764,-0.328064,-0.026729,-0.038320,8.294552,4.856485
1.385092,0.312805,-0.251770,-0.133540,-0.062869,8.287366,4.850497
1.401363,0.373840,-0.381470,-0.110652,-0.081431,8.280780,5.006773
1.417458,0.396729,-0.175476,0.034307,-0.088017,8.258626,4.868460
1.433629,0.350952,-0.312805,0.011418,-0.045505,8.286169,4.845707
1.449477,0.289917,-0.312805,0.034307,-0.070653,8.276588,4.848701
1.465149,0.427246,-1.953125,0.072454,-0.062271,8.287366,4.831936
1.481120,0.411987,-0.320435,0.019048,-0.066462,8.274793,4.864269
1.496808,0.305176,0.000000,-0.011470,-0.073048,8.297545,4.840319
1.512444,0.396729,-0.267029,0.026677,-0.038919,8.284372,4.852892
1.528212,0.373840,-0.228882,0.049565,-0.056882,8.313711,4.850497
1.544138,0.343323,-0.190735,0.019048,-0.054487,8.257428,4.837924
1.559832,0.221252,-0.190735,0.125859,-0.067659,8.291557,4.845707
1.575440,0.282288,-0.335693,0.057195,-0.085622,8.281978,4.853491
1.591095,0.366211,-0.183105,0.125859,-0.075443,8.277187,4.865466
1.606821,0.312805,-0.343323,-0.080134,-0.094603,8.298144,4.863071
1.622450,0.503540,-0.190735,0.034307,-0.080233,8.291557,4.859479
1.638036,0.213623,-0.183105,-0.034358,-0.023351,8.281978,4.866664
1.653659,0.259399,-0.305176,0.019048,-0.082029,8.319699,4.861275
1.669288,0.312805,-0.091553,0.041936,-0.043110,8.247250,4.864868
1.684950,0.312805,-0.274658,0.095342,-0.056283,8.327483,4.871454
1.700707,0.244141,-0.343323,0.118230,-0.077239,8.267608,4.869059
1.716549,0.419617,-0.129700,0.011418,-0.057480,8.136480,4.848103
1.732416,0.320435,-0.221252,-0.049617,-0.053888,8.303533,4.863670
1.748391,0.434875,-0.282288,0.011418,-0.077239,8.283175,4.858281
1.764255,0.343323,-0.213623,0.057195,-0.065863,8.259225,4.839121
1.780165,0.328064,-0.328064,0.102971,-0.068258,8.298742,4.866065
1.796092,0.434875,-0.198364,0.102971,-0.068258,8.249645,4.848701
1.811937,0.350952,-0.251770,0.087712,-0.042512,8.280780,4.845109
1.827604,0.297546,-0.305176,-0.003840,-0.086221,8.290360,4.867861
1.843293,0.419617,-0.236511,-0.049617,-0.059875,8.276588,4.858880
1.858928,0.335693,-0.312805,-0.095393,-0.087418,8.298742,4.854689
1.874575,0.457764,-0.335693,-0.003840,-0.095801,8.281978,4.845707
1.890170,0.335693,-0.267029,0.102971,-0.069456,8.287965,4.847504
1.905818,0.320435,-0.396729,0.019048,-0.095202,8.288564,4.851096
1.921391,0.366211,-0.282288,0.102971,-0.038320,8.279583,4.854090
1.937067,0.289917,-0.358582,0.110601,-0.056882,8.256830,4.855288
1.952677,0.335693,-0.183105,0.041936,-0.071851,8.281379,4.863670
1.968448,0.419617,-0.251770,-0.041987,-0.043709,8.267009,4.857084
1.984204,0.373840,-0.228882,-0.019099,-0.047900,8.152646,4.881034
1.999960,0.236511,-0.274658,0.041936,-0.059875,8.280181,4.858880
2.015881,0.274658,-0.282288,0.049565,-0.044308,8.269403,4.863071
2.031868,0.335693,-0.350952,0.049565,-0.051493,8.296348,4.861275
2.047882,0.274658,-0.396729,0.011418,-0.086221,8.260423,4.851096
2.063751,0.480652,-0.381470,-0.080134,-0.065264,8.267608,4.849300
2.079521,0.366211,-0.434875,-0.019099,-0.070653,8.280181,5.004976
2.095164,0.389099,-0.289917,-0.003840,-0.064666,8.296348,4.845109
2.110881,0.381470,-0.198364,0.095342,-0.065863,8.281379,4.863670
2.126501,0.213623,-0.343323,0.087712,-0.062271,8.305927,4.713981
2.142166,0.312805,-0.152588,0.019048,-0.057480,8.262817,4.850497
2.157924,0.480652,-0.137329,0.034307,-0.050894,8.301737,4.861275
2.173555,0.267029,-0.305176,0.026677,-0.084424,8.286768,4.878639
2.189104,0.358582,-0.282288,-0.064875,-0.037722,8.268207,4.844510
2.204662,0.282288,-0.366211,-0.011470,-0.068857,8.326285,4.846306
2.220234,0.289917,-0.244141,0.026677,-0.060474,8.301737,4.851695
2.235881,0.297546,-0.320435,-0.003840,-0.040715,8.277187,4.874448
2.251613,0.343323,-0.167847,0.057195,-0.091011,8.295150,4.885824
2.267406,0.381470,-0.335693,0.087712,-0.029339,8.284372,4.848701
2.283242,0.335693,-0.343323,0.034307,-0.081431,8.141270,4.886423
2.299059,0.343323,-0.358582,-0.011470,-0.055684,8.137079,4.873849
2.314893,0.282288,-0.228882,-0.125911,-0.059875,8.126900,4.860077
2.330760,0.396729,-0.328064,0.080083,-0.085023,8.292755,4.848701
2.346596,0.228882,-0.213623,0.087712,-0.023351,8.288564,4.870256
2.362691,0.480652,-0.381470,0.019048,-0.086221,8.301138,5.000785
2.378462,0.389099,-0.244141,-0.041987,-0.029339,8.286169,5.006174
2.394159,0.480652,-0.328064,-0.026729,-0.070653,8.280780,4.991804
2.409864,0.373840,-0.030518,-0.064875,-0.052092,8.284971,4.863071
2.425495,0.129700,-0.183105,-0.003840,-0.045505,8.298742,4.847504
