Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2
0.005517,0.305176,-0.289917,0.080083,0.007185,8.566386,4.338562
0.021233,0.396729,-0.244141,-0.003840,-0.062869,8.556208,4.331377
0.037048,0.427246,-0.183105,0.019048,-0.057480,8.562195,4.352932
0.052682,0.244141,-0.343323,0.049565,-0.005988,8.546627,4.311618
0.068267,0.297546,-0.320435,-0.003840,-0.022753,8.581954,4.325988
0.084538,0.396729,-0.160217,0.026677,-0.000599,8.587941,4.342753
0.100230,0.289917,-0.411987,-0.019099,-0.142504,8.537646,4.340358
0.115840,0.228882,-0.282288,0.034307,-0.043709,8.562195,4.312816
0.131368,0.389099,-0.297546,0.026677,-0.137115,8.569979,4.317007
0.146910,0.411987,-0.282288,-0.041987,-0.038320,8.539442,4.339161
0.162489,0.152588,-0.228882,0.019048,-0.025746,8.579558,4.335568
0.178057,0.251770,-0.259399,0.072454,-0.021555,8.564590,4.330179
0.193821,0.282288,-0.213623,0.026677,-0.011376,8.576565,4.328383
0.209756,0.328064,-0.289917,0.041936,0.002395,8.576565,4.306828
0.225646,0.328064,-0.205994,0.003789,-0.015568,8.532257,4.331976
0.241579,0.259399,-0.274658,-0.026729,-0.029339,8.572373,4.314013
0.257589,0.366211,-0.373840,-0.141169,-0.022753,8.561596,4.321198
0.273701,0.358582,-0.289917,0.026677,0.004790,8.559800,4.339161
0.289780,0.480652,-0.236511,-0.011470,-0.006586,8.571177,4.325389
0.305751,0.259399,-0.190735,0.041936,-0.135319,8.571774,4.306229
0.321694,0.297546,-0.175476,-0.049617,-0.016166,8.566985,4.340957
0.337552,0.495911,-0.114441,-0.057246,-0.003593,8.548424,4.319402
0.353534,0.419617,-0.282288,0.049565,-0.019759,8.577164,4.349339
0.369409,0.236511,-0.198364,0.041936,0.007185,8.556208,4.332574
0.385122,0.320435,-0.366211,0.003789,-0.015568,8.566386,4.331377
0.400798,0.305176,-0.251770,0.041936,-0.008981,8.562195,4.327186
0.416566,0.328064,-0.373840,0.049565,-0.013771,8.549023,4.325389
0.432225,0.366211,-0.244141,-0.003840,-0.052690,8.572972,4.318803
0.448015,0.228882,-0.251770,-0.011470,-0.008383,8.554411,4.333772
0.463575,0.335693,-0.251770,0.133489,-0.029938,8.561596,4.339161
0.479205,0.396729,-0.114441,0.019048,-0.027543,8.572373,4.324790
0.494828,0.328064,-0.305176,0.080083,-0.018561,8.555609,4.318803
0.510577,0.404358,-0.190735,0.049565,0.010179,8.568781,4.315210
0.526472,0.389099,-0.320435,-0.141169,-0.010778,8.575367,4.324790
0.542309,0.297546,-0.389099,-0.019099,0.007185,8.571774,4.352932
0.558104,0.495911,-0.335693,-0.049617,-0.029938,8.572373,4.333772
0.574011,0.289917,-0.358582,-0.080134,-0.041913,8.526868,4.343951
0.592927,0.419617,-0.282288,0.026677,-0.008383,8.527467,4.317605
0.608971,0.183105,-0.305176,0.095342,-0.005389,8.554411,4.327785
0.624906,0.305176,-0.289917,-0.041987,-0.003593,8.547825,4.354130
0.641314,0.358582,-0.312805,-0.095393,-0.019160,8.572373,4.323593
0.661906,0.335693,-0.396729,-0.049617,-0.007185,8.559800,4.326587
0.678379,0.274658,-0.328064,0.003789,-0.011376,8.563393,4.318204
0.696895,0.144958,-0.297546,-0.034358,-0.019160,8.569380,4.325389
0.712556,0.480652,-0.305176,0.026677,-0.039518,8.550220,4.326587
