Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2
0.005539,0.328064,-0.289917,0.049565,0.023351,8.788525,3.818244
0.021249,0.282288,-0.312805,0.064824,0.003593,8.804091,3.808065
0.036830,0.335693,-0.137329,0.072454,-0.037123,8.756790,3.818244
0.052432,0.427246,-0.236511,-0.011470,0.010179,8.781938,3.844589
0.068045,0.221252,-0.213623,-0.026729,0.007784,8.780142,3.815250
0.083635,0.282288,-0.236511,0.110601,-0.002395,8.756790,3.802676
0.099238,0.419617,-0.282288,-0.003840,-0.011975,8.769364,3.826028
0.114799,0.419617,-0.259399,0.019048,0.006586,8.806487,3.815250
0.130380,0.320435,-0.259399,0.034307,0.027543,8.804091,3.829620
0.145941,0.267029,-0.167847,-0.019099,0.031734,8.818462,3.816448
0.161508,0.221252,-0.129700,0.026677,0.038320,8.779543,3.817645
0.177091,0.335693,-0.137329,0.003789,-0.008981,8.818462,3.821238
0.192656,0.259399,-0.228882,-0.011470,0.052092,8.754993,3.801479
0.208228,0.373840,-0.083923,-0.034358,0.028740,8.798104,3.817645
0.223806,0.267029,-0.267029,0.133489,-0.036524,8.760383,3.831417
0.239386,0.335693,-0.236511,0.148748,0.009580,8.781339,3.799683
0.254964,0.251770,-0.160217,-0.049617,0.040715,8.768765,3.833812
0.270520,0.289917,-0.221252,0.087712,-0.028141,8.773556,3.796689
0.286091,0.274658,-0.236511,0.011418,0.028740,8.792715,3.803874
0.301672,0.190735,-0.236511,-0.011470,0.012574,8.800499,3.816448
0.317252,0.259399,-0.106812,0.072454,0.029339,8.807086,3.811658
0.332836,0.282288,-0.297546,0.019048,-0.022154,8.789721,3.823633
0.348394,0.312805,-0.137329,-0.034358,0.045505,8.799900,3.811059
0.363971,0.350952,-0.320435,-0.034358,-0.014370,8.769364,3.848182
0.379538,0.244141,-0.213623,0.041936,0.009580,8.776549,3.802676
0.395109,0.442505,-0.244141,0.095342,0.004790,8.780142,3.842194
0.410689,0.251770,-0.221252,0.148748,0.025148,8.782537,3.807467
0.426271,0.228882,-0.350952,-0.064875,0.038919,8.804690,3.791300
0.441834,0.259399,-0.259399,0.148748,-0.001198,8.778345,3.842194
0.457414,0.442505,-0.152588,0.186895,0.004790,8.760982,3.814651
0.472986,0.373840,-0.259399,-0.049617,0.041314,8.828042,3.818843
0.488552,0.267029,-0.190735,0.026677,-0.015568,8.787926,3.826627
0.504130,0.396729,-0.328064,-0.034358,-0.014370,8.789123,3.800880
0.519706,0.343323,-0.396729,-0.041987,-0.007784,8.808283,3.827225
0.535294,0.381470,-0.221252,-0.026729,0.030536,8.780142,3.809861
0.550871,0.366211,-0.328064,0.019048,0.027543,8.820857,3.808664
0.566446,0.289917,-0.274658,0.041936,0.004790,8.796308,3.833213
0.582020,0.335693,-0.099182,0.019048,0.019160,8.786728,3.820040
0.597616,0.205994,-0.381470,0.034307,-0.025746,8.811276,3.935600
0.613214,0.373840,-0.259399,-0.041987,0.023950,8.820258,3.805670
0.628787,0.267029,-0.366211,-0.026729,0.004191,8.798703,3.848781
0.644382,0.442505,-0.259399,-0.072505,0.038919,8.793913,3.839200
0.659984,0.404358,-0.282288,0.095342,-0.129930,8.816067,3.838003
0.675574,0.289917,-0.320435,-0.049617,0.000599,8.792117,3.832015
0.691169,0.198364,-0.175476,0.049565,0.138911,8.798104,3.814053
0.706769,0.366211,-0.251770,0.080083,-0.017364,8.757389,3.833812
0.722358,0.152588,-0.320435,-0.133540,-0.010179,8.790320,3.819442
0.737951,0.190735,-0.350952,-0.019099,-0.028740,8.775950,3.815250
0.753552,0.411987,-0.038147,-0.118281,0.049697,8.804091,3.822435
0.769154,0.312805,-0.411987,-0.064875,-0.025746,8.806487,3.817645
0.784768,0.228882,-0.228882,0.072454,-0.146096,8.795710,3.829022
0.800371,0.427246,-0.267029,-0.064875,0.041314,8.821456,3.830818
0.815962,0.419617,-0.160217,-0.064875,0.017963,8.804690,3.810460
0.831555,0.495911,-0.175476,-0.057246,0.001796,8.793314,3.813454
0.847152,0.427246,-0.198364,-0.148799,0.048499,8.791518,3.811658
0.862637,0.419617,-0.114441,0.064824,0.009580,8.759185,3.781720
0.878099,0.526428,-0.091553,0.034307,0.029938,8.796906,3.790701
0.893577,0.373840,-0.297546,0.087712,0.041314,8.808882,3.788905
0.909146,0.320435,-0.267029,0.095342,-0.015568,8.787926,3.820040
0.924746,0.213623,-0.305176,0.034307,0.021555,8.807684,3.807467
0.940320,0.389099,-0.396729,0.026677,-0.005988,8.792117,3.830818
