Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2,Tilt_Angle_Deg
0.005545,0.518799,-0.389099,0.240300,-0.060474,-2.948269,-9.413640,-162.609909
0.021203,0.091553,-0.404358,0.247930,-0.047302,-2.906955,-9.451961,-162.904694
0.036776,-0.053406,-0.198364,0.141118,-0.057480,-2.887196,-9.462139,-163.031403
0.052371,0.205994,-0.274658,0.011418,-0.068857,-2.905159,-9.445374,-162.903427
0.067956,0.190735,-0.396729,0.041936,-0.029938,-2.915936,-9.434597,-162.825272
0.083542,0.221252,-0.434875,0.034307,0.000599,-2.896776,-9.423221,-162.912140
0.099128,-0.190735,-0.350952,0.202153,-0.016765,-2.872826,-9.447769,-163.086823
0.114715,-0.587463,-0.465393,0.308965,-0.035925,-2.899770,-9.428010,-162.903687
0.130278,-0.389099,-0.205994,0.202153,-0.029339,-2.899171,-9.494473,-163.019760
0.145856,0.068665,-0.152588,-0.049617,-0.071851,-2.891986,-9.465133,-163.009933
0.161450,0.411987,-0.366211,-0.255610,-0.075443,-2.880011,-9.456751,-163.062119
0.177048,0.282288,-0.183105,-0.484492,-0.068258,-2.850073,-9.431602,-163.186066
0.192646,-0.114441,-0.053406,-0.476863,-0.017963,-2.845283,-9.253773,-162.908752
0.208252,-0.373840,-0.106812,-0.354792,-0.005988,-2.865042,-9.414838,-163.074402
0.223856,-0.549316,-0.251770,-0.011470,0.004790,-2.877616,-9.447170,-163.059219
0.239519,-0.106812,-0.236511,0.164006,-0.029339,-2.877017,-9.499262,-163.150146
0.255113,0.457764,-0.244141,0.308965,-0.037123,-2.881807,-9.497466,-163.120682
0.270716,0.892639,-0.328064,0.354741,-0.029938,-2.899770,-9.459146,-162.956696
0.286347,1.243591,-0.389099,0.354741,-0.026345,-2.869832,-9.448368,-163.104446
0.301949,1.029968,-0.404358,0.286077,-0.055085,-2.838098,-9.418430,-163.230637
0.317543,0.862122,-0.434875,0.370000,-0.064067,-2.850073,-9.421424,-163.168915
0.333154,0.839233,-0.427246,0.270818,-0.075443,-2.845882,-9.462738,-163.261551
0.348761,1.037598,-0.244141,0.301335,-0.062869,-2.886597,-9.493874,-163.088181
0.364367,1.365662,-0.213623,0.133489,-0.088017,-2.909350,-9.478905,-162.937241
0.379978,1.541138,-0.312805,-0.003840,-0.063468,-2.937491,-9.450763,-162.733688
0.395598,1.258850,-0.221252,-0.148799,-0.041314,-2.903363,-9.413041,-162.858109
0.411232,1.022339,-0.152588,-0.171687,-0.022753,-2.918930,-9.416634,-162.777817
0.426859,0.526428,-0.259399,-0.125911,-0.038919,-2.875820,-9.431004,-163.041840
0.442458,0.511169,-0.183105,0.003789,0.011376,-2.933899,-9.462738,-162.774078
0.458055,0.831604,-0.297546,0.194524,-0.065863,-2.929109,-9.484892,-162.838348
0.473675,1.091003,-0.350952,0.133489,-0.067659,-2.948269,-9.443578,-162.661713
0.489284,0.854492,-0.244141,0.026677,-0.050894,-2.967429,-9.418430,-162.512131
0.504885,0.503540,-0.129700,-0.301387,-0.046104,-2.911745,-9.540576,-163.028030
0.520476,0.122070,-0.099182,-0.232722,-0.056283,-2.930306,-9.442380,-162.759018
0.536076,-0.099182,-0.167847,-0.225093,-0.040715,-2.892585,-9.471121,-163.016754
0.551668,0.122070,-0.152588,-0.186946,-0.027543,-2.902165,-9.425016,-162.885269
0.567261,0.099182,-0.259399,-0.232722,-0.028141,-2.931504,-9.440584,-162.749313
0.582852,0.038147,-0.205994,-0.240352,-0.064067,-2.912942,-9.411245,-162.801804
0.598457,-0.137329,-0.106812,-0.072505,-0.027543,-2.924319,-9.462738,-162.827011
0.614076,-0.305176,-0.236511,-0.080134,0.137115,-2.929708,-9.454355,-162.782883
0.629678,-0.167847,-0.228882,0.263188,-0.046703,-2.905159,-9.473516,-162.951263
0.645284,-0.106812,-0.480652,0.232671,-0.042512,-2.909350,-9.440584,-162.872025
0.660894,-0.320435,-0.221252,0.148748,-0.070653,-2.929109,-9.416634,-162.721329
0.676480,-0.724792,-0.122070,-0.148799,-0.078437,-2.942281,-9.405257,-162.628555
0.692084,-1.358032,-0.152588,-0.240352,-0.055085,-2.927911,-9.414838,-162.724884
0.707684,-1.731873,-0.152588,-0.270869,-0.005389,-2.893184,-9.420825,-162.928009
0.723313,-1.708984,-0.160217,-0.011470,0.011975,-2.894381,-9.502255,-163.059296
0.738909,-1.205444,-0.404358,0.286077,0.137115,-2.855462,-9.484293,-163.244385
0.754522,-0.640869,-0.526428,0.461553,-0.040117,-2.904560,-9.486689,-162.976868
0.770110,-0.457764,-0.480652,0.507329,-0.068857,-2.885998,-9.439985,-163.000519
0.785719,-1.075745,-0.228882,0.179265,-0.080233,-2.880610,-9.423819,-163.003006
0.801349,-1.205444,-0.297546,-0.110652,-0.080233,-2.829117,-9.409449,-163.265671
0.816940,-1.403809,-0.030518,-0.309016,-0.036524,-2.815346,-9.476509,-163.454010
0.832546,-0.976562,-0.030518,-0.568416,-0.047900,-2.760859,-9.463337,-163.735779
0.848167,-0.526428,-0.053406,-0.431086,-0.053888,-2.780019,-9.489083,-163.670990
0.863795,-0.007629,0.061035,-0.278499,-0.041314,-2.769840,-9.484293,-163.719818
0.879419,0.404358,-0.228882,-0.141169,-0.010778,-2.755470,-9.484293,-163.799850
0.895010,0.892639,-0.213623,0.179265,-0.007185,-2.759661,-9.466331,-163.747345
0.910603,1.213074,-0.350952,0.354741,0.007784,-2.766846,-9.506447,-163.772385
0.926199,1.815796,-0.511169,0.423406,-0.001796,-2.791395,-9.459744,-163.559647
0.941813,2.372742,-0.640869,0.614141,-0.071252,-2.850672,-9.472917,-163.251953
0.957418,2.845764,-0.434875,0.484441,-0.070653,-2.884801,-9.474114,-163.064880
0.973000,2.975464,-0.122070,0.057195,-0.086221,-2.927313,-9.454355,-162.796127
0.988615,2.822876,-0.091553,-0.377681,-0.098795,-2.906955,-9.445374,-162.893463
1.004235,2.525330,-0.205994,-0.446345,-0.044308,-2.906356,-9.408850,-162.834290
1.019825,2.037048,-1.937866,-0.507380,-0.010179,-2.914140,-9.404060,-162.782776
1.035446,1.541138,-0.183105,-0.438716,-0.029938,-2.927911,-9.411245,-162.718689
