Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2,Tilt_Angle_Deg
0.005570,1.022339,-0.297546,0.049565,-0.290396,2.446512,9.386065,14.609291
0.021266,0.846863,-0.297546,0.087712,-0.270637,2.443519,9.430972,14.525642
0.036861,0.617981,-0.434875,0.041936,-0.290995,2.465672,9.442348,14.634801
0.052456,0.617981,-0.289917,0.202153,-0.250878,2.478845,9.452527,14.694447
0.068033,0.534058,-0.259399,0.278447,-0.249681,2.474055,9.465101,14.648633
0.083617,0.381470,-0.328064,0.102971,-0.267643,2.481839,9.439355,14.731064
0.099224,0.350952,-0.404358,0.080083,-0.255668,2.460284,9.436361,14.613053
0.114831,0.381470,-0.343323,0.064824,-0.289797,2.475253,9.422589,14.718674
0.130403,0.129700,-0.305176,0.087712,-0.264650,2.458488,9.433368,14.607275
0.145992,-0.228882,-0.335693,-0.049617,-0.240699,2.490222,9.435163,14.784922
0.161591,-0.350952,-0.221252,-0.110652,-0.253273,2.462080,9.429176,14.633929
0.177188,-0.473022,-0.137329,-0.057246,-0.281415,2.462080,9.460910,14.586942
0.192766,-0.488281,-0.167847,-0.125911,-0.270637,2.442920,9.450731,14.493151
0.208366,-0.335693,-0.152588,-0.133540,-0.295186,2.429747,9.451330,14.417391
0.223941,-0.366211,-0.335693,-0.057246,-0.275427,2.427951,9.450731,14.408051
0.239533,-0.083923,-0.137329,-0.064875,-0.259261,2.405797,9.481268,14.237861
0.255120,-0.213623,-0.259399,-0.118281,-0.282612,2.393822,9.435762,14.235416
0.270710,-0.015259,-0.320435,-0.141169,-0.253273,2.406995,9.435762,14.310540
0.286297,-0.114441,-0.213623,-0.041987,-0.295785,2.412982,9.424985,14.360397
0.301885,0.007629,-0.305176,0.087712,-0.298180,2.436932,9.458515,14.447717
0.317484,0.106812,-0.366211,0.148748,-0.276625,2.408192,9.489052,14.240244
0.333075,0.129700,-0.297546,0.049565,-0.276625,2.420167,9.480669,14.320285
0.348664,0.419617,-0.205994,-0.041987,-0.242496,2.404001,9.492045,14.212163
0.364268,0.419617,-0.289917,-0.041987,-0.254471,2.401606,9.456120,14.250327
0.379872,0.625610,-0.350952,-0.118281,-0.283810,2.416575,9.451929,14.341591
0.395474,0.831604,-0.389099,0.064824,-0.271835,2.390229,9.461509,14.177799
0.411084,1.098633,-0.404358,0.133489,-0.284409,2.423161,9.450731,14.380806
0.426681,1.159668,-0.251770,0.255559,-0.281415,2.430346,9.435163,14.444472
0.442261,0.961304,-0.297546,0.286077,-0.268242,2.300416,9.421991,13.720561
0.457853,0.694275,-0.450134,0.362371,-0.283810,2.438729,9.427979,14.502776
0.473442,0.419617,-0.358582,0.385259,-0.266446,2.446512,9.441750,14.526788
0.489035,0.350952,-0.267029,0.225042,-0.238304,2.305206,9.471687,13.678630
0.504617,0.434875,-0.259399,0.102971,-0.251477,2.472259,9.486057,14.607500
0.520206,0.404358,-0.213623,-0.041987,-0.237706,2.500400,9.454923,14.813040
0.535800,0.343323,-0.297546,-0.156428,-0.227527,2.485431,9.422589,14.776556
0.551389,0.007629,-0.167847,-0.247981,-0.283810,2.471061,9.424386,14.692150
0.566974,-0.282288,-0.320435,-0.110652,-0.262853,2.302212,9.457916,13.680676
0.582570,-0.480652,-0.213623,-0.186946,-0.274828,2.435735,9.477077,14.413810
0.598152,-0.381470,-0.099182,-0.209834,-0.298180,2.439327,9.488453,14.417599
0.613728,-0.114441,-0.205994,-0.171687,-0.276625,2.436932,9.468694,14.432836
0.629313,-0.251770,-0.152588,-0.164058,-0.273032,2.430945,9.439954,14.440859
0.644905,-0.312805,-0.160217,-0.164058,-0.249082,2.440525,9.422589,14.520958
0.660495,-0.564575,-0.312805,-0.080134,-0.262255,2.401007,9.435163,14.277270
0.676074,-0.450134,-0.282288,-0.049617,-0.253872,2.368076,9.457916,14.056747
0.691681,-0.099182,-0.091553,-0.087764,-0.283810,2.375261,9.490249,14.051576
0.707268,0.213623,-0.236511,-0.049617,-0.317939,2.419569,9.486656,14.308225
0.722858,0.450134,-0.381470,-0.049617,-0.312550,2.406995,9.459713,14.275792
0.738451,0.595093,-0.328064,0.125859,-0.272433,2.396217,9.472286,14.196362
0.754035,0.679016,-0.473022,0.240300,-0.239502,2.386637,9.465101,14.152190
0.769623,0.938416,-0.450134,0.194524,-0.234712,2.355502,9.446540,14.001226
0.785223,1.152039,-0.167847,0.102971,-0.252675,2.345323,9.434565,13.960094
0.800830,1.228333,-0.335693,0.118230,-0.278421,2.392625,9.431571,14.234653
0.816445,1.091003,-0.282288,0.225042,-0.288600,2.401007,9.464502,14.234813
0.832068,1.579285,-0.305176,0.179265,-0.237706,2.431544,9.523779,14.322383
0.847637,2.189636,-0.137329,-0.011470,-0.216151,2.469265,9.558507,14.484646
0.863209,2.799988,-0.061035,-0.194575,-0.252675,2.446512,9.487854,14.459162
0.878804,3.303528,0.007629,-0.370051,-0.314346,2.476450,9.427979,14.717434
0.894388,2.876282,-0.160217,-0.057246,-0.323328,2.508783,9.342357,15.031500
0.909973,1.914978,-0.236511,0.202153,-0.295186,2.486629,9.314215,14.947717
0.925533,0.869751,-0.419617,0.301335,-0.243094,2.469864,9.397442,14.725616
0.941123,0.541687,-0.457764,0.316594,-0.239502,2.521955,9.590241,14.733548
0.956699,0.640869,-0.587463,0.293706,-0.290995,2.519561,9.493841,14.863049
0.972288,1.106262,-0.167847,0.133489,-0.287402,2.535727,9.321400,15.218080
0.987872,1.091003,-0.358582,0.057195,-0.261057,2.521955,9.392652,15.029602
1.003457,0.793457,-0.236511,-0.003840,-0.250878,2.518363,9.341758,15.087212
1.019054,-0.030518,-0.465393,-0.156428,-0.250878,2.502795,9.368103,14.957879
1.034670,-0.602722,-0.396729,0.049565,-0.251477,2.513573,9.429176,14.926458
1.050286,-0.701904,-0.320435,0.156377,-0.252076,2.491419,9.465101,14.746976
1.065893,-0.221252,-0.213623,0.064824,-0.231119,2.472858,9.495039,14.597656
1.081499,0.000000,0.022888,-0.202205,-0.213157,2.477648,9.488453,14.634437
1.097107,0.274658,0.022888,-0.370051,-0.259860,2.460284,9.429176,14.623710
1.112710,0.205994,0.083923,-0.408198,-0.262255,2.457290,9.396843,14.654777
1.128314,-0.160217,-0.183105,-0.309016,-0.334704,2.439926,9.416003,14.527273
1.143924,-0.396729,-0.274658,-0.156428,-0.171843,2.436334,9.426781,14.490898
