Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2
0.005541,0.427246,-0.274658,-0.011470,-0.120350,-5.883366,-8.023332
0.021201,0.251770,-0.244141,-0.003840,-0.141905,-5.880372,-8.025127
0.036816,0.396729,-0.312805,-0.003840,-0.142504,-5.894742,-8.038301
0.052366,0.328064,-0.274658,-0.034358,-0.162861,-5.872588,-8.055065
0.067947,0.549316,-0.144958,0.064824,-0.147892,-5.883366,-8.023332
0.083684,0.335693,-0.129700,0.057195,-0.152084,-5.883366,-8.051473
0.099530,0.289917,-0.320435,-0.026729,-0.144300,-5.882767,-8.055065
0.115669,0.320435,-0.099182,0.057195,-0.155078,-5.854625,-8.036504
0.131411,0.228882,-0.404358,0.080083,-0.148491,-5.906717,-8.036504
0.147371,0.396729,-0.251770,-0.011470,-0.129331,-5.884563,-8.064047
0.163096,0.358582,-0.267029,-0.034358,-0.153880,-5.901328,-8.035905
0.178745,0.381470,-0.205994,0.026677,-0.156874,-5.885162,-8.029319
0.194369,0.328064,-0.373840,0.080083,-0.122745,-5.898933,-8.038898
0.209995,0.450134,-0.198364,0.034307,-0.152682,-5.889353,-8.047281
0.225662,0.274658,-0.282288,0.049565,-0.125739,-5.898335,-8.038898
0.241262,0.213623,-0.205994,0.064824,-0.133522,-5.901927,-8.031713
0.256857,0.396729,-0.251770,0.011418,-0.145497,-5.883366,-8.070034
0.272517,0.305176,-0.289917,0.057195,-0.134121,-5.898933,-8.044288
0.288149,0.320435,-0.274658,0.072454,-0.118553,-5.882168,-8.032312
0.303689,0.221252,-0.152588,-0.080134,-0.129930,-5.883964,-8.031116
0.319276,0.450134,-0.221252,0.049565,-0.161664,-5.888155,-8.029319
0.334814,0.335693,-0.297546,0.095342,-0.134720,-5.886359,-8.058658
0.350416,0.358582,-0.297546,0.019048,-0.127535,-5.909112,-8.028121
0.366006,0.328064,-0.274658,0.034307,-0.120350,-5.895340,-8.023332
0.381590,0.305176,-0.190735,-0.118281,-0.143701,-5.867798,-8.066442
0.397187,0.282288,-0.343323,0.034307,-0.131127,-5.885162,-8.028121
0.412769,0.419617,-0.267029,0.156377,-0.133522,-5.885162,-8.028720
0.428410,0.335693,-0.259399,-0.095393,-0.125140,-5.880970,-8.070633
0.443994,0.396729,-0.244141,-0.026729,-0.147294,-5.880970,-8.053269
0.459660,0.305176,-0.205994,0.057195,-0.129930,-5.877378,-8.050874
0.475263,0.518799,-0.160217,-0.003840,-0.135319,-5.890551,-8.034708
0.490958,0.366211,-0.236511,-0.003840,-0.147294,-5.873187,-8.027523
0.506535,0.267029,-0.297546,-0.041987,-0.123344,-5.877378,-8.043689
0.522152,0.366211,-0.160217,-0.087764,-0.137115,-5.886958,-8.047880
0.537750,0.358582,-0.198364,-0.019099,-0.141306,-5.876181,-8.052072
0.553424,0.350952,-0.221252,0.118230,-0.131726,-5.885760,-8.035306
0.569036,0.282288,-0.099182,-0.034358,-0.150886,-5.896538,-8.057461
0.584751,0.411987,-0.236511,0.041936,-0.146695,-5.903124,-8.038898
