Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2
0.005539,0.312805,-0.259399,0.019048,-0.048499,8.623867,4.205040
0.021251,0.411987,-0.320435,-0.019099,-0.050894,8.611293,4.220607
0.037049,0.427246,-0.289917,-0.019099,-0.059277,8.608898,4.187676
0.052682,0.419617,-0.068665,-0.011470,-0.032932,8.616083,4.191867
0.068302,0.289917,-0.190735,0.102971,-0.070054,8.625663,4.195459
0.084195,0.450134,-0.068665,0.057195,-0.043110,8.640632,4.187077
0.099978,0.320435,-0.175476,-0.110652,-0.063468,8.604707,4.193065
0.115815,0.350952,-0.297546,0.080083,-0.063468,8.637039,4.203243
0.131591,0.175476,-0.221252,0.026677,-0.029339,8.626262,4.181688
0.147277,0.358582,-0.205994,0.041936,-0.045505,8.614286,4.182886
0.163003,0.427246,-0.091553,0.019048,-0.070054,8.607700,4.204441
0.178782,0.396729,-0.122070,-0.003840,-0.050894,8.647817,4.202046
0.194511,0.411987,-0.228882,0.034307,-0.015568,8.622070,4.200849
0.210272,0.366211,-0.358582,-0.026729,-0.064666,8.622669,4.211626
0.225977,0.343323,-0.175476,0.003789,-0.045505,8.617280,4.200250
0.241563,0.442505,-0.190735,-0.041987,-0.067061,8.625064,4.197256
0.257160,0.312805,-0.114441,-0.019099,-0.047302,8.643625,4.209231
0.272757,0.289917,-0.259399,0.026677,-0.074844,8.608898,4.208034
0.288308,0.389099,-0.251770,-0.087764,-0.025746,8.638836,4.210428
0.303987,0.259399,-0.106812,0.049565,-0.066462,8.629854,4.208632
0.319798,0.389099,-0.175476,0.041936,-0.053888,8.601712,4.179293
0.335506,0.358582,-0.297546,-0.080134,-0.070653,8.605904,4.218811
0.351593,0.267029,-0.190735,0.034307,-0.020358,8.636440,4.203842
0.367392,0.389099,-0.175476,-0.011470,-0.041913,8.610694,4.223002
0.383304,0.389099,-0.244141,0.057195,-0.080832,8.625663,4.173306
0.399270,0.381470,-0.282288,0.049565,-0.075443,8.601712,4.200849
0.415204,0.267029,-0.114441,0.011418,0.020358,8.634046,4.205638
0.430985,0.335693,-0.251770,-0.019099,-0.062271,8.609496,4.202645
0.446655,0.213623,-0.038147,-0.034358,-0.074246,8.639434,4.197855
0.462275,0.328064,-0.312805,0.003789,-0.031734,8.616083,4.208632
0.477905,0.442505,-0.137329,0.057195,-0.054487,8.609496,4.200849
0.493592,0.282288,-0.175476,0.080083,-0.054487,8.643625,4.196058
0.509277,0.152588,-0.289917,0.148748,-0.038919,8.620872,4.191268
0.524930,0.350952,-0.244141,-0.003840,-0.059277,8.604108,4.206836
0.540547,0.556946,-0.373840,0.141118,-0.042512,8.619077,4.199651
0.556231,0.144958,-0.267029,0.011418,-0.043709,8.622669,4.183485
0.571775,0.312805,-0.289917,-0.049617,-0.065863,8.622070,4.215219
0.588061,0.366211,-0.373840,-0.041987,-0.041913,8.630453,4.208632
0.603834,0.366211,-0.221252,-0.041987,-0.044308,8.628057,4.180490
0.619424,0.366211,-0.221252,0.049565,-0.095202,8.631052,4.193065
0.635033,0.259399,-0.312805,0.026677,-0.017963,8.598120,4.172108
0.652714,0.389099,-0.320435,-0.026729,-0.030536,8.647817,4.197855
0.669211,0.205994,-0.244141,-0.034358,-0.046703,8.612491,4.205040
0.685805,0.328064,-0.236511,0.080083,-0.067659,8.635841,4.188873
0.702468,0.297546,-0.076294,0.064824,-0.042512,8.628656,4.188873
0.720518,0.442505,-0.244141,0.064824,-0.061672,8.638836,4.206237
0.736201,0.312805,-0.221252,-0.034358,-0.044308,8.618478,4.228391
0.751840,0.465393,-0.175476,-0.057246,-0.059875,8.620274,4.225996
0.767503,0.389099,-0.236511,0.049565,-0.053888,8.612491,4.197256
0.783194,0.450134,-0.198364,-0.041987,-0.011376,8.626861,4.209231
0.800060,0.350952,-0.236511,-0.011470,-0.085023,8.642428,4.189472
0.815693,0.312805,-0.251770,0.072454,-0.017364,8.604707,4.176898
0.831713,0.366211,-0.236511,-0.011470,-0.062869,8.625663,4.227792
0.847388,0.404358,-0.038147,-0.026729,-0.029339,8.625064,4.199651
0.863104,0.297546,-0.282288,0.019048,-0.058678,8.641829,4.204441
0.878764,0.366211,-0.205994,-0.034358,-0.041314,8.627460,4.196058
0.894315,0.381470,-0.244141,0.049565,-0.040117,8.629854,4.206836
0.910206,0.267029,-0.289917,0.095342,-0.057480,8.620872,4.201447
0.925786,0.350952,-0.236511,0.041936,-0.057480,8.633447,4.185281
0.941409,0.312805,-0.312805,0.080083,-0.019160,8.613688,4.228391
0.956982,0.350952,-0.160217,-0.057246,-0.030536,8.622070,4.193663
0.972682,0.419617,-0.228882,0.057195,-0.067061,8.622070,4.194262
0.988406,0.267029,-0.251770,0.080083,-0.043110,8.621471,4.187676
1.004024,0.411987,-0.221252,0.049565,-0.046703,8.636440,4.194262
1.019866,0.366211,-0.244141,0.057195,-0.030536,8.614286,4.232583
1.035519,0.282288,-0.328064,-0.003840,-0.066462,8.631650,4.164923
1.051132,0.328064,-0.144958,0.003789,-0.037123,8.625663,4.195459
1.066767,0.236511,-0.244141,0.118230,-0.049098,8.617280,4.188873
1.082343,0.297546,-0.160217,-0.034358,-0.024549,8.641231,4.181089
1.098262,0.289917,-0.236511,0.057195,-0.042512,8.623867,4.211626
1.113919,0.350952,-0.320435,-0.019099,-0.063468,8.610694,4.194262
1.129803,0.274658,-0.160217,0.026677,-0.019160,8.636440,4.209830
1.145427,0.190735,-0.373840,0.057195,-0.060474,8.617879,4.194861
1.161224,0.335693,-0.244141,-0.019099,-0.086221,8.619077,4.237372
1.176860,0.213623,-0.274658,-0.019099,-0.001796,8.614885,4.204441
1.192515,0.373840,-0.244141,-0.019099,-0.089813,8.630453,4.188274
1.208392,0.495911,-0.289917,0.087712,-0.051493,8.623268,4.199052
1.224076,0.358582,-0.358582,0.202153,-0.040715,8.619676,4.223002
1.239669,0.358582,-0.305176,0.064824,-0.037123,8.601712,4.191268
1.255576,0.381470,-0.297546,0.064824,-0.090412,8.611892,4.208034
1.271228,0.419617,-0.389099,0.118230,-0.032333,8.638836,4.200849
1.286870,0.434875,-0.236511,-0.072505,-0.055684,8.613688,4.218811
1.302439,0.312805,-0.350952,0.049565,-0.045505,8.611892,4.186478
1.318102,0.488281,-0.282288,-0.011470,-0.062271,8.641231,4.211626
1.334465,0.289917,-0.221252,0.003789,-0.053289,8.619077,4.191867
1.350474,0.282288,-0.251770,0.003789,-0.068857,8.610694,4.181688
1.366587,0.320435,-0.190735,-0.057246,-0.040715,8.598120,4.214021
1.382433,0.160217,-0.305176,0.080083,-0.045505,8.618478,4.208034
1.398396,0.457764,-0.213623,-0.026729,-0.039518,8.607101,4.173306
1.414165,0.442505,-0.228882,0.019048,-0.050295,8.629255,4.192466
1.430086,0.274658,-0.244141,0.064824,-0.042512,8.616083,4.189472
1.445802,0.205994,-0.213623,0.019048,-0.043709,8.629854,4.210428
1.461447,0.389099,-0.297546,-0.049617,-0.059277,8.611293,4.190071
1.477218,0.289917,-0.221252,-0.057246,-0.029339,8.616083,4.193663
1.492876,0.511169,-0.305176,0.003789,-0.065264,8.589738,4.190670
1.508504,0.259399,-0.251770,-0.019099,-0.076641,8.657397,4.224200
1.524123,0.328064,-0.297546,-0.003840,-0.051493,8.618478,4.206237
1.539730,0.465393,-0.297546,0.019048,-0.035925,8.583750,4.194262
1.555497,0.320435,-0.236511,-0.019099,-0.050295,8.654403,4.192466
1.571103,0.213623,-0.350952,0.019048,-0.091011,8.650810,4.200250
1.586716,0.518799,-0.312805,-0.003840,-0.063468,8.575367,4.183485
1.602485,0.274658,-0.289917,-0.072505,-0.021555,8.628656,4.190670
1.618199,0.434875,-0.129700,0.049565,-0.068258,8.640632,4.223601
1.633868,0.434875,-0.282288,0.133489,-0.076042,8.598719,4.191268
1.651339,0.373840,-0.183105,0.011418,-0.013771,8.631052,4.193065
1.666917,0.259399,-0.137329,-0.103022,-0.023351,8.653206,4.199651
1.682663,0.335693,-0.236511,-0.019099,-0.062271,8.647218,4.206836
1.698431,0.366211,-0.221252,-0.049617,-0.071851,8.598120,4.211027
1.714312,0.396729,-0.221252,0.019048,-0.004191,8.643625,4.209830
1.730104,0.259399,-0.289917,0.080083,-0.056283,8.636440,4.204441
1.745755,0.328064,-0.244141,-0.057246,-0.021555,8.613089,4.193065
1.761397,0.389099,-0.152588,0.141118,-0.098196,8.618478,4.182886
1.777057,0.389099,-0.221252,0.011418,-0.013771,8.625663,4.214021
1.792656,0.335693,-0.320435,-0.057246,-0.050894,8.644823,4.185880
1.808305,0.366211,-0.251770,0.064824,-0.079036,8.610694,4.208632
1.823864,0.358582,-0.152588,-0.034358,-0.028740,8.604108,4.190071
1.839497,0.160217,-0.404358,0.064824,-0.082029,8.630453,4.191867
1.855103,0.167847,-0.289917,0.080083,-0.049697,8.637039,4.165522
1.870675,0.312805,-0.221252,0.087712,-0.035925,8.634046,4.193663
1.886334,0.305176,-0.236511,0.026677,-0.053289,8.628656,4.185281
1.901988,0.488281,-0.144958,0.087712,-0.075443,8.628057,4.194262
