Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2
0.005392,0.343323,-0.320435,0.049565,-0.105381,8.291557,4.770264
0.020950,0.305176,-0.144958,0.133489,-0.019759,8.319100,4.748709
0.036672,0.236511,-0.251770,0.102971,-0.032333,8.344847,4.754697
0.052206,0.488281,-0.190735,0.072454,-0.037722,8.340056,4.794214
0.067707,0.434875,-0.160217,0.011418,-0.001198,8.312514,4.786431
0.083258,0.526428,-0.335693,0.110601,-0.058678,8.326285,4.792418
0.098803,0.335693,-0.259399,0.110601,-0.025148,8.322094,4.764875
0.114369,0.068665,-0.274658,-0.057246,-0.025148,8.356223,4.768468
0.130059,0.129700,-0.236511,0.057195,-0.111368,8.346045,4.764277
0.145660,0.190735,-0.114441,0.041936,-0.052092,8.327483,4.778647
0.161313,0.427246,-0.335693,0.034307,-0.041314,8.330477,4.767271
0.176998,0.297546,-0.091553,-0.019099,-0.042512,8.311316,4.785832
0.192639,0.305176,-0.381470,0.041936,-0.045505,8.286169,4.786431
0.208500,0.144958,-0.282288,-0.019099,-0.064067,8.343051,4.785233
0.224393,0.289917,-0.328064,-0.011470,-0.032932,8.331675,4.776851
0.240048,0.236511,-0.244141,0.003789,-0.112566,8.352631,4.807986
0.255591,0.473022,-0.282288,0.148748,-0.073048,8.356223,4.745117
0.271238,0.442505,-0.236511,-0.019099,-0.079634,8.318501,4.736135
0.286763,0.350952,-0.205994,-0.011470,-0.044907,8.361612,4.718771
0.302281,0.328064,-0.137329,0.057195,-0.051493,8.358618,4.733740
0.317783,0.381470,-0.305176,0.003789,-0.037123,8.339458,4.736135
0.333295,0.350952,-0.198364,-0.034358,-0.108973,8.338261,4.774456
0.348830,0.411987,-0.366211,0.102971,-0.073048,8.341853,4.763678
0.364418,0.228882,-0.350952,-0.026729,-0.043110,8.338261,4.740925
0.380044,0.137329,-0.198364,0.102971,-0.025746,8.346045,4.739728
0.395610,0.282288,-0.335693,0.034307,-0.069456,8.310718,4.793017
0.411535,0.328064,-0.160217,-0.003840,-0.073048,8.304730,4.798406
0.427245,0.297546,-0.213623,0.026677,-0.030536,8.312514,4.793616
0.442937,0.389099,-0.144958,0.041936,-0.035925,8.307724,4.773857
0.458661,0.251770,-0.106812,0.019048,-0.034728,8.328082,4.772060
0.474507,0.411987,-0.297546,0.118230,-0.037722,8.329279,4.763079
0.490254,0.205994,-0.106812,-0.057246,-0.009580,8.326884,4.775653
0.508485,0.396729,-0.274658,-0.003840,-0.065863,8.299940,4.801998
0.524286,0.411987,-0.335693,0.026677,-0.126936,8.326884,4.803794
0.539907,0.381470,-0.091553,0.118230,-0.129331,8.303533,4.756493
0.555518,0.144958,-0.320435,-0.110652,-0.087418,8.332871,4.731345
0.571182,0.160217,-0.251770,-0.080134,-0.034129,8.337063,4.787628
0.586723,0.289917,-0.320435,-0.057246,-0.076042,8.334069,4.801400
0.602222,0.396729,-0.114441,0.003789,-0.132325,8.343649,4.792418
0.617886,0.526428,-0.236511,0.095342,-0.043110,8.346045,4.793017
0.633404,0.442505,-0.213623,-0.049617,-0.062869,8.335865,4.774456
0.648940,0.396729,-0.213623,-0.026729,-0.049098,8.323891,4.769067
0.664743,0.282288,-0.343323,-0.049617,-0.024549,8.312514,4.797208
0.680439,0.320435,-0.244141,0.118230,-0.099393,8.316107,4.784036
0.696123,0.274658,-0.328064,0.064824,-0.040715,8.316107,4.770863
0.711849,0.404358,-0.244141,0.019048,-0.061073,8.324490,4.790023
0.727654,0.442505,-0.251770,0.148748,-0.086221,8.320896,4.792418
0.743417,0.221252,-0.152588,-0.103022,-0.014969,8.314310,4.776252
0.759126,0.259399,-0.305176,-0.156428,-0.086819,8.317903,4.787628
0.774744,0.282288,-0.251770,-0.034358,-0.076641,8.326884,4.794813
0.790262,0.457764,-0.434875,0.019048,-0.044308,8.292156,4.795412
0.805904,0.396729,-0.137329,0.110601,-0.096998,8.316107,4.791221
0.821565,0.358582,-0.007629,0.026677,-0.001198,8.310718,4.793616
0.837096,0.343323,-0.411987,-0.064875,-0.094005,8.321495,4.813375
0.852620,0.228882,-0.198364,0.034307,-0.065863,8.346045,4.781641
0.868147,0.396729,-0.343323,-0.133540,-0.058678,8.359217,4.775054
0.883691,0.343323,-0.129700,-0.011470,-0.076641,8.332871,4.774456
0.899249,0.389099,-0.442505,0.209783,-0.061073,8.353230,4.757690
0.914897,0.366211,-0.053406,-0.080134,0.144300,8.311915,4.748709
0.930591,0.312805,-0.167847,0.049565,-0.050295,8.338261,4.757690
0.946275,0.289917,-0.213623,-0.019099,-0.062271,8.326884,4.774456
0.961992,0.335693,-0.236511,-0.103022,-0.044907,8.332871,4.772659
0.977759,0.457764,-0.228882,0.026677,-0.068258,8.311915,4.784036
0.993483,0.465393,-0.259399,0.011418,-0.122745,8.321495,4.779245
1.009279,0.305176,-0.320435,0.019048,0.007185,8.311316,4.769666
1.024896,0.274658,-0.221252,-0.019099,-0.088616,8.367001,4.743320
1.040470,0.297546,-0.396729,0.019048,-0.004191,8.370593,4.767271
1.056131,0.411987,-0.289917,-0.019099,-0.091610,8.322693,4.782838
1.071771,0.381470,-0.312805,-0.011470,-0.068258,8.314310,4.788826
1.087311,0.373840,-0.083923,-0.141169,-0.044308,8.308922,4.751104
1.102862,0.381470,-0.343323,0.057195,-0.093406,8.320298,4.784036
1.118395,0.183105,-0.251770,-0.011470,-0.071851,8.340056,4.799005
1.133963,0.450134,-0.251770,0.148748,-0.015568,8.336464,4.793017
1.149520,0.396729,-0.251770,0.011418,-0.094005,8.333470,4.761882
1.165149,0.419617,-0.228882,0.049565,0.008981,8.313113,4.791221
1.180849,0.411987,-0.175476,-0.019099,-0.082628,8.337662,4.785832
1.196505,0.335693,-0.343323,-0.057246,-0.070054,8.341853,4.752901
1.212179,0.320435,-0.167847,0.049565,-0.077239,8.349637,4.734938
1.227914,0.320435,-0.190735,0.049565,-0.060474,8.343051,4.744518
1.243714,0.442505,-0.282288,-0.011470,-0.045505,8.325088,4.772060
1.259352,0.381470,-0.160217,0.041936,-0.056283,8.302335,4.744518
1.275092,0.328064,-0.213623,-0.095393,-0.049098,8.317903,4.755894
1.290791,0.335693,-0.297546,0.019048,-0.082628,8.328082,4.776851
