Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2
0.005531,0.396729,-0.122070,0.080083,-0.107776,7.357500,6.198894
0.021213,0.305176,-0.373840,-0.041987,-0.105980,7.336544,6.193505
0.036806,0.282288,-0.221252,0.087712,-0.080233,7.477251,6.201887
0.052391,0.343323,-0.137329,-0.011470,-0.100591,7.206614,6.186918
0.068011,0.320435,-0.267029,-0.019099,-0.084424,7.365882,6.199492
0.083609,0.244141,-0.267029,0.003789,-0.125140,7.357500,6.202486
0.099222,0.328064,-0.190735,-0.080134,-0.101190,7.346723,6.173746
0.114808,0.289917,-0.236511,0.019048,-0.085023,7.209009,6.198894
0.130391,0.228882,-0.259399,0.072454,-0.113763,7.214397,6.194103
0.145987,0.335693,-0.221252,-0.011470,-0.113763,7.358697,6.188715
0.161559,0.350952,-0.228882,0.179265,-0.105381,7.508386,6.187517
0.177123,0.335693,-0.259399,0.057195,-0.086819,7.215595,6.188116
0.192734,0.267029,-0.236511,-0.034358,-0.098196,7.333550,6.195899
0.208331,0.457764,-0.129700,0.080083,-0.108375,7.358697,6.200091
0.223935,0.366211,-0.335693,-0.072505,-0.114961,7.506590,6.185122
0.239543,0.442505,-0.137329,0.095342,-0.091610,7.497010,6.207276
0.255122,0.350952,-0.350952,0.019048,-0.094603,7.376660,6.197097
0.270735,0.488281,-0.228882,0.034307,-0.128134,7.351512,6.201288
0.286314,0.312805,-0.122070,0.034307,-0.111368,7.367080,6.180332
0.301893,0.335693,-0.175476,0.087712,-0.110171,7.351512,6.200690
0.317486,0.358582,-0.167847,-0.034358,-0.108375,7.337741,6.211467
0.333086,0.335693,-0.244141,0.026677,-0.104782,7.347920,6.237813
0.348693,0.350952,-0.205994,0.141118,-0.108375,7.367080,6.200690
0.364280,0.274658,-0.183105,0.003789,-0.109572,7.353908,6.215060
0.379845,0.305176,-0.160217,-0.095393,-0.102986,7.377259,6.190511
0.395313,0.396729,0.015259,0.011418,-0.100591,7.385043,6.205480
0.410767,0.343323,-0.061035,0.125859,-0.106578,7.378457,6.197696
0.426304,0.274658,-0.320435,0.003789,-0.100591,7.352710,6.194702
0.441894,0.274658,-0.267029,0.026677,-0.102986,7.364086,6.201887
0.457479,0.305176,-0.198364,-0.026729,-0.092807,7.366481,6.173147
0.473062,0.450134,-0.289917,0.019048,-0.105381,7.332352,6.197696
0.488645,0.373840,-0.404358,0.003789,-0.118553,7.359895,6.213862
