Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2
0.005532,0.289917,-0.236511,0.064824,-0.129930,8.350236,4.751104
1.667381,-82.893372,-0.488281,1.277898,-0.264650,1.249601,10.212347
3.331007,-35.041809,-2.067566,-6.679561,-0.379012,8.640033,4.587644
4.994753,-82.077026,-0.961304,0.118230,-0.022154,0.802332,10.735660
6.658449,65.101624,-0.434875,0.301335,-0.033530,5.564828,7.976597
8.322219,-83.305359,-0.427246,-0.469233,-0.129331,1.334026,10.662012
9.985783,0.480652,-0.305176,-1.216914,-0.168250,7.457492,6.198295
11.649519,-67.817688,0.587463,-7.923152,-0.221539,1.116079,10.362036
13.314602,249.061584,2.067566,1.186345,-1.478326,-9.483080,-3.776962
14.976892,-52.955627,-1.144409,1.514409,0.155078,4.227808,-8.813687
16.640609,42.388916,-0.747681,17.238592,-0.320933,-7.752678,-6.441421
18.304371,60.592651,0.297546,-1.117732,-0.173639,1.680106,-9.542373
19.968014,-20.820618,-0.350952,0.225042,-0.019759,-0.264051,-9.806423
21.631751,18.737793,-0.663757,0.698064,0.068857,-3.539839,-9.340592
23.295357,39.642334,0.114441,0.072454,-0.246687,-0.632285,-9.744752
24.959086,156.501770,-2.510071,0.858281,0.736468,-2.713557,9.284876
26.622813,-76.690674,-0.541687,0.011418,-0.272433,2.977009,9.555513
28.286483,-14.350891,1.083374,-0.011470,0.113165,7.294032,6.185721
29.950214,-77.278137,0.152588,0.537847,-0.359852,1.684896,10.033319
31.613905,67.443848,-4.272461,-1.583125,0.514330,8.778345,2.135144
33.277580,-85.121155,1.640320,-3.635432,0.014969,2.389032,9.157341
34.944431,85.960388,-2.128601,-3.170039,-0.459245,6.745573,7.319164
36.608503,-95.451355,0.801086,-1.636531,0.120350,1.221460,10.390777
38.268681,91.392517,-2.212524,0.217412,0.396376,6.248606,7.632911
