Timestamp,Gyro_X_dps,Gyro_Y_dps,Gyro_Z_dps,Accel_X_mps2,Accel_Y_mps2,Accel_Z_mps2
0.005543,0.244141,-0.427246,-0.011470,-0.057480,8.061636,5.184004
1.667504,107.864380,-5.577087,-14.141109,0.391586,7.899972,-7.552710
3.331348,-46.813965,0.061035,-3.894832,-0.556243,-5.727090,-8.070034
4.995293,44.113159,-0.061035,1.956914,-0.013173,-3.022515,-9.525008
6.659174,13.931274,-0.007629,0.034307,0.064067,-0.427511,-9.772893
8.822579,-73.638916,-5.882263,-12.729671,-1.000519,7.783813,6.894647
10.482953,249.969482,0.671387,18.146490,2.320175,-6.925798,-6.647393
12.146809,-16.410828,-0.129700,0.484441,-0.035925,-6.164780,-7.867655
13.810674,9.582520,-0.282288,0.308965,0.049098,-4.981042,-8.539458
15.474587,25.123596,0.022888,-0.873591,0.023950,-2.309996,-9.662124
17.637960,-49.621582,-5.393982,-7.068660,-0.448467,7.123986,5.816289
19.298245,207.023621,0.099182,9.098027,-0.661025,-8.699908,-6.446211
20.962220,22.903442,-0.465393,-0.247981,0.084424,1.068179,-9.596260
22.626113,-12.214661,-0.358582,-0.675227,0.073647,-2.663262,-9.422622
24.289987,19.683838,-0.732422,0.308965,-0.065264,-1.787882,-9.756128
26.453328,-29.228210,-1.358032,-2.605464,-0.334704,7.455097,5.240287
28.113650,113.983154,-42.320251,70.331551,-1.029260,-2.855462,-6.705472
