epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.746081,1.01823,2.8714,1.47611,0.56905,0.85,0.87889,0.63422,1.65466,1.04234,1.37961,0,0,0
2,0.999879,1.30894,3.66975,1.60189,0.55655,0.85,0.88955,0.61941,1.66974,1.03396,1.38814,1.17822e-06,1.17822e-06,1.17822e-06
3,1.22651,1.07045,2.9137,1.18306,0.55342,0.85,0.85556,0.61876,1.67044,1.01402,1.3836,2.33288e-06,2.33288e-06,2.33288e-06
4,1.45257,1.2339,3.24038,1.60395,0.58951,0.92717,0.90507,0.62451,1.65962,0.98654,1.36644,3.46397e-06,3.46397e-06,3.46397e-06
5,1.67259,1.23788,2.20146,1.65256,0.52417,0.85,0.85764,0.61909,1.68041,0.99549,1.37293,4.5715e-06,4.5715e-06,4.5715e-06
6,1.91733,0.88824,2.24419,1.20062,0.52672,0.86437,0.85852,0.61092,1.67771,1.00973,1.37321,5.65548e-06,5.65548e-06,5.65548e-06
7,2.15521,1.30622,3.00288,1.64655,0.5535,0.86667,0.85943,0.62775,1.65026,1.00667,1.35726,6.71588e-06,6.71588e-06,6.71588e-06
8,2.39908,1.41102,3.96393,1.85825,0.56211,0.86667,0.86074,0.61222,1.64234,1.00883,1.35036,7.75273e-06,7.75273e-06,7.75273e-06
9,2.63741,1.0419,2.80581,1.38975,0.54726,0.86667,0.89426,0.63203,1.63895,1.00784,1.34823,8.76602e-06,8.76602e-06,8.76602e-06
10,2.87145,1.05609,2.16987,1.30446,0.56642,0.86667,0.89649,0.64165,1.63312,1.00319,1.34286,9.75574e-06,9.75574e-06,9.75574e-06
11,3.12241,1.2593,2.48799,1.6304,0.65442,0.94712,0.91106,0.64897,1.62222,0.99594,1.33842,1.07219e-05,1.07219e-05,1.07219e-05
12,3.36258,0.98907,2.42151,1.38476,0.65441,0.94954,0.91055,0.64896,1.62764,1.00361,1.34008,1.16645e-05,1.16645e-05,1.16645e-05
13,3.59675,1.43968,3.53653,1.84357,0.64211,0.95,0.91361,0.6521,1.63473,1.01034,1.33996,1.25835e-05,1.25835e-05,1.25835e-05
14,3.83608,0.88917,2.95688,1.33632,0.65421,0.95,0.91193,0.65141,1.63147,1.02467,1.33677,1.3479e-05,1.3479e-05,1.3479e-05
15,4.0758,1.25374,3.49239,1.58023,0.66285,0.94908,0.91235,0.65206,1.63096,1.0383,1.34236,1.43509e-05,1.43509e-05,1.43509e-05
16,4.30867,1.31436,2.25986,1.55683,0.66412,0.94668,0.91288,0.65271,1.61808,1.04167,1.33522,1.51993e-05,1.51993e-05,1.51993e-05
17,4.54621,0.84464,1.97253,1.21291,0.85581,0.64887,0.88345,0.64474,1.60864,1.04534,1.33235,1.60241e-05,1.60241e-05,1.60241e-05
18,4.77205,0.76995,2.07808,1.12035,0.85581,0.64887,0.88345,0.64474,1.60864,1.04534,1.33235,1.68253e-05,1.68253e-05,1.68253e-05
