epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2028,1.42295,2.18424,1.24004,0.69402,0.6543,0.65147,0.42354,1.04872,1.42543,1.12479,0.000472118,0.000472118,0.000472118
2,25.982,1.16603,1.19283,1.09491,0.73647,0.65562,0.69603,0.48205,1.00674,1.08709,1.15414,0.000939062,0.000939062,0.000939062
3,38.6004,1.1343,1.10922,1.07926,0.63849,0.64646,0.65934,0.43688,0.93786,1.05326,1.11066,0.00139657,0.00139657,0.00139657
4,51.2454,1.11278,1.04588,1.06744,0.56865,0.63067,0.58013,0.41375,0.95509,1.25315,1.12545,0.00138656,0.00138656,0.00138656
5,63.9834,1.05446,0.96895,1.04195,0.8129,0.70661,0.7617,0.54454,0.87482,0.8941,1.05843,0.00137241,0.00137241,0.00137241
6,76.6221,1.03015,0.92915,1.03273,0.81844,0.77145,0.79047,0.54551,0.8571,0.80758,1.06609,0.00135826,0.00135826,0.00135826
7,89.3073,1.01689,0.9048,1.02681,0.76395,0.77388,0.75652,0.52908,0.87616,0.82858,1.0528,0.00134412,0.00134412,0.00134412
8,101.973,0.99616,0.87959,1.02635,0.78651,0.68314,0.75201,0.54433,0.84882,0.82951,1.0388,0.00132997,0.00132997,0.00132997
9,114.579,0.99008,0.85704,1.01811,0.7562,0.75616,0.7545,0.56152,0.79742,0.73512,1.03348,0.00131582,0.00131582,0.00131582
10,127.232,0.99576,0.85711,1.01694,0.73886,0.78252,0.75044,0.5483,0.80197,0.82863,1.01739,0.00130168,0.00130168,0.00130168
11,139.873,0.97042,0.82818,1.01028,0.70763,0.7469,0.75573,0.56432,0.79483,0.8491,1.03409,0.00128753,0.00128753,0.00128753
12,152.479,0.95563,0.81576,1.00925,0.73448,0.70834,0.74286,0.54036,0.7748,0.72105,1.009,0.00127338,0.00127338,0.00127338
13,165.078,0.9502,0.80338,1.00424,0.67995,0.77404,0.74671,0.53204,0.76465,0.73656,1.01717,0.00125923,0.00125923,0.00125923
14,177.697,0.94053,0.79505,0.99629,0.79871,0.77853,0.79243,0.56791,0.76517,0.70501,1.00468,0.00124509,0.00124509,0.00124509
15,190.395,0.93223,0.7796,0.99693,0.79325,0.73044,0.78579,0.57283,0.74193,0.71807,1.00609,0.00123094,0.00123094,0.00123094
16,203.059,0.92443,0.77006,0.99296,0.78144,0.78973,0.80854,0.59673,0.76126,0.72689,1.01004,0.00121679,0.00121679,0.00121679
17,215.67,0.92549,0.76415,0.99004,0.80617,0.7796,0.81493,0.60639,0.73603,0.68142,1.00542,0.00120265,0.00120265,0.00120265
18,228.33,0.90876,0.75269,0.99057,0.81419,0.79167,0.80315,0.5903,0.72674,0.6828,0.99302,0.0011885,0.0011885,0.0011885
19,240.935,0.91383,0.7488,0.98654,0.77181,0.80811,0.83835,0.62108,0.72119,0.68027,0.98861,0.00117435,0.00117435,0.00117435
20,253.577,0.90513,0.73657,0.98614,0.82069,0.80785,0.80798,0.61605,0.73119,0.65231,0.99543,0.00116021,0.00116021,0.00116021
21,266.201,0.90293,0.74217,0.98832,0.63858,0.79023,0.76191,0.56763,0.70812,0.69908,0.98743,0.00114606,0.00114606,0.00114606
22,278.869,0.91329,0.73649,0.98665,0.77426,0.80678,0.78844,0.5778,0.72109,0.66483,0.98501,0.00113191,0.00113191,0.00113191
23,291.506,0.88968,0.71299,0.97826,0.79292,0.78089,0.8209,0.61819,0.68475,0.66373,0.97686,0.00111776,0.00111776,0.00111776
24,304.255,0.89332,0.72726,0.97961,0.86669,0.79719,0.84803,0.64687,0.70666,0.6282,0.97991,0.00110362,0.00110362,0.00110362
25,316.886,0.88274,0.71781,0.97901,0.83222,0.78078,0.82108,0.60587,0.7031,0.69416,0.97423,0.00108947,0.00108947,0.00108947
26,329.595,0.8784,0.7139,0.97563,0.76731,0.84648,0.8241,0.62128,0.68782,0.64059,0.97357,0.00107532,0.00107532,0.00107532
27,342.358,0.88123,0.69938,0.96994,0.81113,0.82816,0.82756,0.62179,0.71837,0.63439,0.98393,0.00106118,0.00106118,0.00106118
28,355.011,0.87802,0.7017,0.97533,0.76542,0.81195,0.82026,0.60557,0.71323,0.6449,0.97828,0.00104703,0.00104703,0.00104703
29,367.659,0.87618,0.70141,0.97377,0.79311,0.83371,0.82216,0.61158,0.67911,0.63469,0.9555,0.00103288,0.00103288,0.00103288
30,380.253,0.85783,0.68648,0.96933,0.79527,0.7683,0.81024,0.61737,0.70067,0.62339,0.98048,0.00101873,0.00101873,0.00101873
31,392.999,0.86169,0.67805,0.96799,0.80176,0.83922,0.7983,0.61047,0.68429,0.61194,0.97882,0.00100459,0.00100459,0.00100459
32,405.607,0.85696,0.67925,0.96413,0.78926,0.84153,0.83984,0.64917,0.68163,0.59766,0.96028,0.00099044,0.00099044,0.00099044
33,418.262,0.83619,0.65976,0.96205,0.78976,0.87273,0.8397,0.64755,0.69628,0.61599,0.9759,0.000976293,0.000976293,0.000976293
34,430.951,0.84441,0.66519,0.96541,0.8097,0.84965,0.85959,0.65043,0.66283,0.5729,0.95613,0.000962146,0.000962146,0.000962146
35,443.719,0.84786,0.66142,0.9604,0.80275,0.82092,0.83329,0.6464,0.66636,0.62742,0.9631,0.000947999,0.000947999,0.000947999
36,456.386,0.83822,0.66367,0.95993,0.86686,0.79811,0.845,0.64355,0.63967,0.57946,0.96213,0.000933851,0.000933851,0.000933851
37,468.996,0.83003,0.64606,0.95899,0.71104,0.87727,0.82976,0.64671,0.64764,0.58982,0.96441,0.000919704,0.000919704,0.000919704
38,481.632,0.83122,0.64808,0.95812,0.79979,0.84869,0.84617,0.64107,0.66889,0.58384,0.96434,0.000905557,0.000905557,0.000905557
39,494.342,0.83325,0.64601,0.95381,0.78703,0.87527,0.84992,0.64888,0.6662,0.60428,0.96508,0.00089141,0.00089141,0.00089141
40,506.907,0.82914,0.65299,0.95586,0.78188,0.83775,0.84872,0.66061,0.65416,0.56103,0.96957,0.000877263,0.000877263,0.000877263
41,519.495,0.8184,0.63978,0.9496,0.81435,0.81185,0.84025,0.6567,0.64811,0.62037,0.95284,0.000863116,0.000863116,0.000863116
42,532.165,0.8235,0.64094,0.95192,0.8619,0.79957,0.88025,0.66714,0.6499,0.58311,0.95903,0.000848969,0.000848969,0.000848969
43,544.79,0.81403,0.62963,0.95058,0.82788,0.84732,0.86933,0.67042,0.65311,0.56849,0.96053,0.000834822,0.000834822,0.000834822
44,557.357,0.80199,0.61897,0.94741,0.83509,0.85302,0.87276,0.66633,0.64871,0.56111,0.95932,0.000820675,0.000820675,0.000820675
45,569.982,0.81536,0.62712,0.9522,0.86149,0.84907,0.88752,0.69238,0.63052,0.55063,0.94649,0.000806528,0.000806528,0.000806528
46,582.63,0.81136,0.62086,0.94888,0.82656,0.88787,0.88654,0.67951,0.63603,0.55734,0.94729,0.00079238,0.00079238,0.00079238
47,595.351,0.81869,0.63076,0.94823,0.84818,0.78015,0.86577,0.66448,0.6196,0.56827,0.94851,0.000778233,0.000778233,0.000778233
48,608.053,0.80271,0.61159,0.9461,0.80916,0.83762,0.88178,0.68794,0.637,0.56497,0.94453,0.000764086,0.000764086,0.000764086
49,620.792,0.80914,0.61776,0.94998,0.85521,0.8547,0.88265,0.68993,0.61053,0.54182,0.94841,0.000749939,0.000749939,0.000749939
50,633.525,0.79663,0.60658,0.94618,0.88644,0.83044,0.86578,0.67986,0.60902,0.53004,0.94212,0.000735792,0.000735792,0.000735792
51,646.185,0.78771,0.59748,0.94087,0.8803,0.81749,0.88132,0.68739,0.6111,0.5444,0.94512,0.000721645,0.000721645,0.000721645
52,658.85,0.79101,0.60007,0.9439,0.80988,0.84777,0.86878,0.69166,0.60711,0.5329,0.93978,0.000707498,0.000707498,0.000707498
53,671.506,0.796,0.60655,0.94347,0.82848,0.86101,0.87601,0.66646,0.61873,0.54929,0.94382,0.000693351,0.000693351,0.000693351
54,684.092,0.79334,0.60145,0.94498,0.82679,0.84402,0.87821,0.6941,0.61429,0.51728,0.95274,0.000679204,0.000679204,0.000679204
55,696.717,0.78916,0.59647,0.94067,0.84542,0.85563,0.87169,0.68076,0.61485,0.53089,0.95006,0.000665057,0.000665057,0.000665057
56,709.277,0.77646,0.58577,0.93534,0.84664,0.85338,0.90362,0.71165,0.60066,0.52812,0.94167,0.000650909,0.000650909,0.000650909
57,721.897,0.78483,0.59219,0.93958,0.80428,0.86936,0.88272,0.71628,0.59605,0.53707,0.93425,0.000636762,0.000636762,0.000636762
58,734.54,0.78006,0.59195,0.94076,0.85172,0.85234,0.88895,0.69918,0.60153,0.53472,0.93632,0.000622615,0.000622615,0.000622615
59,747.29,0.78896,0.58977,0.94192,0.85014,0.83594,0.87741,0.67836,0.60703,0.54064,0.93361,0.000608468,0.000608468,0.000608468
60,760.032,0.76993,0.58082,0.936,0.85433,0.84878,0.88282,0.69312,0.59441,0.52145,0.93554,0.000594321,0.000594321,0.000594321
61,772.831,0.77311,0.5798,0.93223,0.82796,0.86535,0.87843,0.7123,0.59072,0.52244,0.92999,0.000580174,0.000580174,0.000580174
62,785.54,0.77703,0.58022,0.9389,0.83448,0.83554,0.88075,0.70307,0.59249,0.521,0.93485,0.000566027,0.000566027,0.000566027
63,798.172,0.76502,0.56681,0.9304,0.86412,0.84001,0.8951,0.69429,0.59551,0.51019,0.93348,0.00055188,0.00055188,0.00055188
64,810.844,0.75871,0.56148,0.93205,0.79105,0.89452,0.86475,0.68496,0.59163,0.51596,0.93546,0.000537733,0.000537733,0.000537733
65,823.577,0.7682,0.56879,0.93268,0.86825,0.85124,0.9004,0.69419,0.59959,0.51725,0.93832,0.000523586,0.000523586,0.000523586
66,836.242,0.76091,0.56543,0.93,0.83806,0.88743,0.88353,0.70911,0.58474,0.50638,0.93421,0.000509438,0.000509438,0.000509438
67,848.892,0.75922,0.56349,0.93066,0.82373,0.87479,0.89785,0.71093,0.57565,0.50387,0.92086,0.000495291,0.000495291,0.000495291
68,861.673,0.7548,0.55976,0.928,0.84341,0.82661,0.88529,0.69668,0.58378,0.51923,0.92576,0.000481144,0.000481144,0.000481144
69,874.406,0.76172,0.55879,0.93071,0.82887,0.86972,0.89522,0.72082,0.58318,0.52044,0.92258,0.000466997,0.000466997,0.000466997
70,887.03,0.75699,0.5637,0.92983,0.86594,0.85513,0.87236,0.70814,0.58301,0.51018,0.92278,0.00045285,0.00045285,0.00045285
71,899.693,0.75165,0.55811,0.92882,0.86555,0.80952,0.88838,0.69424,0.5869,0.52554,0.91844,0.000438703,0.000438703,0.000438703
72,912.309,0.74319,0.54139,0.92532,0.87535,0.82196,0.90129,0.72512,0.57489,0.51211,0.92301,0.000424556,0.000424556,0.000424556
73,924.942,0.74449,0.5454,0.92346,0.88621,0.86661,0.91154,0.73234,0.57528,0.51319,0.92852,0.000410409,0.000410409,0.000410409
74,937.491,0.74524,0.54401,0.92367,0.84945,0.84849,0.88846,0.70608,0.56777,0.51747,0.9223,0.000396262,0.000396262,0.000396262
75,950.075,0.74092,0.53945,0.92089,0.87876,0.81862,0.89949,0.71989,0.57916,0.50358,0.91974,0.000382115,0.000382115,0.000382115
76,962.66,0.74069,0.54252,0.92262,0.86589,0.86673,0.88095,0.71189,0.57518,0.50377,0.91863,0.000367967,0.000367967,0.000367967
77,975.334,0.73215,0.53413,0.91669,0.88384,0.8541,0.88733,0.72475,0.5664,0.50453,0.91743,0.00035382,0.00035382,0.00035382
78,987.825,0.72189,0.53046,0.91979,0.81619,0.86482,0.87035,0.71462,0.56524,0.5098,0.91634,0.000339673,0.000339673,0.000339673
79,1000.4,0.73302,0.54121,0.92121,0.8679,0.84696,0.90545,0.70514,0.56488,0.50722,0.92414,0.000325526,0.000325526,0.000325526
